#taxonomy	MCT.f.0170	MCT.f.0169	MCT.f.0168	MCT.f.0167	MCT.f.0166	MCT.f.0163	MCT.f.0162	MCT.f.0161	MCT.f.0160	MCT.f.0159	MCT.f.0158	MCT.f.0157	MCT.f.0155	MCT.f.0154
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.094999804666	0.0946145494028	0.04488566858	0.0670843908629	0.12243094318	0.094999804666	0.094999804666	0.0687824804815	0.0254958641288	0.126249810635	0.12243094318	0.0946145494028	0.094999804666	0.0946145494028
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.0701616713244	0.0987963873864	0.131714364291	0.110435847715	0.102831262841	0.102831262841	0.111249463289	0.0964820846906	0.0930044416244	0.0705151964418	0.110435847715	0.111249463289	0.131714364291	0.111249463289
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.154861088729	0.101158915316	0.0647559492791	0.154861088729	0.127300126904	0.0711899639844	0.154861088729	0.101158915316	0.0647559492791	0.0772170655072	0.0853155860884	0.0647559492791	0.101158915316	0.276787102933
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	3.47403161369e-05	0.000195439739414	3.47403161369e-05	0.00012011242523	6.04312373094e-05	6.62697110972e-06	3.47403161369e-05	4.65149563475e-05	9.18517802325e-05	9.18517802325e-05	8.04457768649e-05	5.68244373493e-05	3.47403161369e-05	0.000195439739414
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00212563451777	0.00212563451777	0.00190711321025	0.00173762878028	0.00204514467505	0.00212563451777	0.00173762878028	0.00186753528773	0.00212563451777	0.00227636457619	0.00204514467505	0.00190711321025	0.00186753528773	0.00186753528773
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0182899746193	0.00709531751948	0.00709531751948	0.0125501720639	0.023866597186	0.0182899746193	0.0129220951875	0.023866597186	0.00843762742699	0.00709531751948	0.0182142300951	0.00709531751948	0.023866597186	0.00795945004524
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.156043781726	0.154749410021	0.0732539001002	0.140958642527	0.161541802389	0.044404873175	0.0893868334202	0.150379972219	0.128091387669	0.132400255801	0.132400255801	0.0732539001002	0.0732539001002	0.201656158841
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0316861120959	0.00503151855174	0.0312052080748	0.02332247557	0.134625639095	0.0253370701409	0.0111304866658	0.0253370701409	0.0241162158294	0.0316861120959	0.0111304866658	0.0316861120959	0.0111304866658	0.02332247557
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.00449083703859	0.00449083703859	0.00549176503397	0.00309503363389	0.00339881165895	0.00492456321947	0.00377783669141	0.00492456321947	0.00619780114187	0.00410423452769	0.00368247351051	0.00390228426396	0.00309503363389	0.00390228426396
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0508556875104	0.0308237057347	0.0114878919146	0.00724569492801	0.0308237057347	0.0114878919146	0.0114878919146	0.0114878919146	0.0208441896821	0.0100977198697	0.0100977198697	0.0163465818589	0.0114878919146	0.00724569492801
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0170922355393	0.00994530880905	0.013758429818	0.0182193268187	0.0164896702872	0.0214806855525	0.019450160207	0.00981775979423	0.0170922355393	0.0170922355393	0.0170922355393	0.0182193268187	0.0214806855525	0.00994530880905
