#taxonomy	MCT.f.0017	MCT.f.0016	MCT.f.0014	MCT.f.0013	MCT.f.0012	MCT.f.0011	MCT.f.0010	MCT.f.0009	MCT.f.0008	MCT.f.0007	MCT.f.0006	MCT.f.0005	MCT.f.0004	MCT.f.0003	MCT.f.0002
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0667630205367	0.0383302250478	0.0491432373981	0.126367562329	0.0619092505737	0.112198864792	0.106671092904	0.0815286251989	0.106671092904	0.0460142043399	0.0649834775183	0.0667630205367	0.0811800048941	0.112198864792	0.106671092904
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.101547163534	0.378992761677	0.314428194643	0.32785059221	0.357857755627	0.195361362955	0.372726244175	0.195361362955	0.396943812746	0.282795567816	0.314428194643	0.357857755627	0.314428194643	0.282795567816	0.282795567816
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.244841537022	0.100929983175	0.0516214581492	0.100366829673	0.0516214581492	0.0909679779305	0.102456111469	0.0509416234323	0.0909679779305	0.0039261354184	0.0760789864404	0.244841537022	0.0516214581492	0.0484260529988	0.244841537022
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000363865889429	6.85860602643e-05	5.54661933552e-05	5.48749536993e-05	5.48749536993e-05	3.10138425117e-05	5.3125224122e-05	3.32723340542e-05	5.48749536993e-05	0.000490216103599	5.8367958909e-05	2.77515087214e-05	5.95837479369e-05	3.10138425117e-05	0.000363865889429
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.000487068335687	0.000241224421893	0.000420707978361	0.000520874471387	0.000345585738034	0.000564363420339	0.000449364761632	0.000241224421893	0.000564363420339	0.000345585738034	0.000241224421893	0.000520874471387	0.000420707978361	0.000508440105756	0.000508440105756
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0297898412125	0.0223975308495	0.0266266327293	0.0181074816561	0.0216611591728	0.0392592937235	0.0223975308495	0.0266266327293	0.0216611591728	0.0223975308495	0.0216611591728	0.0392592937235	0.0356350719298	0.00746963899518	0.0266266327293
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.0398063371638	0.0162053728253	0.00174679753785	0.0185171920797	0.0202172017671	0.0217840649357	0.0162053728253	0.0226039222173	0.0257710462216	0.0257710462216	0.0185171920797	0.0294879887127	0.0398063371638	0.0162053728253	0.0152793932908
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0423300609501	0.0917945593766	0.0946411424914	0.0639732015197	0.131883665596	0.0995284595106	0.0843344497704	0.0639732015197	0.014931687233	0.0995284595106	0.0843344497704	0.0995284595106	0.247449111453	0.0946411424914	0.0732649965867
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0284989066382	0.014596853218	0.0115224581244	0.012560632845	0.0245921061901	0.012560632845	0.0175754171952	0.00121444019298	0.0169533069161	0.012560632845	0.0162822673186	0.0203096572977	0.0175754171952	0.0162822673186	0.0115224581244
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0215109818501	0.0217820553907	0.0413415580702	0.0504277153285	0.0504277153285	0.0161649385291	0.0161649385291	0.0254606697048	0.0217384166962	0.0421044814911	0.0421044814911	0.0340318886183	0.0215109818501	0.00413408750624	0.0215109818501
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0331651704745	0.0334042925046	0.0141009603953	0.029431266834	0.0664392466106	0.0664392466106	0.0334042925046	0.029431266834	0.0580625997847	0.0401594461095	0.0473534760051	0.060238691632	0.0644886941409	0.0141009603953	0.0644886941409
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00460369404848	0.00304274454412	0.00304274454412	0.0161370820163	0.00304274454412	0.00286361145858	0.00405617366094	0.00414412508254	0.00304274454412	0.00286361145858	0.00385506849152	0.00385423501005	0.00321592415906	0.00520447525099	0.00304274454412
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.00014140741973	0.00014140741973	0.000822629603211	0.000822629603211	0.000660287535158	0.000739205316182	0.00133467595379	0.000490216103599	0.000996919582532	0.000980210151116	0.000683379350161	0.000822629603211	0.000683379350161	0.000822629603211	0.000665332899083
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.00321965291025	0.00362897999741	0.00399408252445	0.00346043886682	0.00362897999741	0.00362897999741	0.00302418987097	0.00232073736416	0.00321965291025	0.00224333460835	0.00399408252445	0.00232073736416	0.00296324749976	0.00233954672235	0.00285317102886
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.0274912660123	0.0174026716778	0.0159651555081	0.0185690410117	0.0117737485923	0.0185690410117	0.00786873046041	0.0146469342031	0.0146469342031	0.0110845780131	0.0159651555081	0.0274912660123	0.0110845780131	0.00786873046041	0.0110845780131
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.000420707978361	0.000350095956178	0.000420707978361	0.000526928836874	0.0004451571587	0.000249542505407	0.000526928836874	0.00113458271137	0.000539903619908	0.000249542505407	0.000539903619908	0.000640136562467	0.00021192792383	0.000249542505407	0.000935655144247
