#taxonomy	MCT.f.0221	MCT.f.0220	MCT.f.0219	MCT.f.0218	MCT.f.0216	MCT.f.0215	MCT.f.0214	MCT.f.0213	MCT.f.0209	MCT.f.0206
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.237844554063	0.17649768318	0.166440514378	0.178929719415	0.178929719415	0.166440514378	0.203333199147	0.237844554063	0.17649768318	0.178929719415
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.151073942789	0.125369522474	0.118437308314	0.0846112407973	0.137343514918	0.130550950665	0.151073942789	0.0760812599721	0.117943453699	0.173725651901
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.0780981451691	0.113207038966	0.0663607406673	0.075928206933	0.227195614788	0.0678536029568	0.075928206933	0.113207038966	0.0663607406673	0.0663607406673
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000216895543106	0.000107349408907	4.81238570584e-05	0.000194529100627	6.59955821781e-05	3.45575339744e-05	3.92711278668e-05	0.000161608906446	0.000194529100627	0.000161608906446
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.133495753743	0.108935413618	0.16067310631	0.113061004343	0.133495753743	0.133495753743	0.229653920719	0.154243716226	0.229653920719	0.276095664467
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0101060099823	0.0182538874019	0.00730121781588	0.0155690189606	0.0133392081141	0.0101060099823	0.0101060099823	0.0133392081141	0.0100828620798	0.00993427616434
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.07831734558	0.102217633327	0.0893916598064	0.0564691437543	0.0564691437543	0.102217633327	0.0498406033745	0.07831734558	0.0893916598064	0.07831734558
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0152720416592	0.00391178209518	0.00605218309504	0.00633005177028	0.00769864024754	0.00817821237826	0.00605218309504	0.0152720416592	0.00605218309504	0.00817821237826
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0164781342673	0.0198515551367	0.00576632293887	0.017590988671	0.017590988671	0.0124579909978	0.00920566416922	0.0369366133956	0.0164781342673	0.0164781342673
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0287214939846	0.0394173610832	0.0489121897581	0.0489121897581	0.0489121897581	0.0449585198356	0.0530275073097	0.0489121897581	0.0231211731031	0.0601854147043
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0248782595036	0.0313004863973	0.0260615487581	0.026085426065	0.0299425838435	0.0155990045236	0.0234819882477	0.0246568173584	0.0260615487581	0.0155990045236
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00136826865756	0.00127833408984	0.0012959472196	0.00150031951249	0.00127833408984	0.000969653438678	0.00150031951249	0.00111448047067	0.0012959472196	0.00111448047067
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.0129889255419	0.00607048082608	0.00617861476754	0.00576322443111	0.0086819895852	0.00502421812053	0.00935645232356	0.00617861476754	0.00566268131986	0.0115706702245
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0335866321081	0.0319882938033	0.0514505588879	0.0746529650552	0.0335866321081	0.0669746593518	0.0395820403324	0.0335866321081	0.0306938178573	0.0335866321081
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.0182251921517	0.00821471239245	0.00821471239245	0.00960537405186	0.0182251921517	0.00821471239245	0.00960537405186	0.0140182380732	0.00460385538151	0.0140182380732
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.00115820251512	0.0015263744079	0.00117239210693	0.00115820251512	0.00141911655347	0.00165012224728	0.0014137606032	0.00103122550839	0.0014137606032	0.0015263744079
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.0106812661863	0.0128962649453	0.0106812661863	0.00241771882208	0.00241771882208	0.0130168310941	0.00588085139805	0.00405370880291	0.0106812661863	0.00241771882208
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	0.0103954935303	0.0158197162866	0.00435424928077	0.0110047891212	0.0110047891212	0.00634228715049	0.0103954935303	0.0157069485584	0.0114968632015	0.0158197162866
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_intestinihominis	0.0282187107201	0.019994998935	0.0361767508018	0.0142259660697	0.0255471964702	0.0282187107201	0.0282187107201	0.0142259660697	0.0142259660697	0.0142259660697
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	0.0101352188786	0.00475206802961	0.00475206802961	0.0101352188786	0.00778947966049	0.0101352188786	0.00979706088174	0.00574609445143	0.00687244737669	0.00899722233404
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	0.0100888523008	0.00778359660394	0.00989099530456	0.00889322759417	0.00889322759417	0.00926798617656	0.00892370234495	0.0116458889494	0.0113012144174	0.0116458889494
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__[Eubacterium]_siraeum	5.36747044537e-05	3.92711278668e-05	0.000130137325864	8.51619496409e-05	0.000206245101679	3.92711278668e-05	8.08044532232e-05	5.36747044537e-05	8.92881405939e-05	0.000166702168054
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_excrementihominis	3.09850775866e-06	0.0	3.09850775866e-06	6.48430335424e-05	6.28479080625e-05	6.70933805671e-06	6.70933805671e-06	9.62477141168e-05	1.55283722772e-05	6.48430335424e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	8.97827258036e-06	0.0	3.09850775866e-06	8.97827258036e-06	1.37496734453e-05	4.63061577929e-06	0.0	0.0	0.0	8.97827258036e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp._KLE_1745	0.00839993702363	0.00868812428909	0.00682004213464	0.0125644489614	0.00839993702363	0.00839993702363	0.0243068742879	0.00408777358276	0.00408777358276	0.00703245816379
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus	0.00109997387562	0.00169847628024	0.00109997387562	0.0012965724182	0.000834979349973	0.0012965724182	0.00136535029454	0.00169847628024	0.00169847628024	0.00114133536237
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	0.000584778720868	0.00128759738034	0.0134902734158	0.000471253534402	0.0120996727976	0.000584778720868	0.00128759738034	0.000915774650321	0.000915774650321	0.00515277162755
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	0.00154119094851	0.00154119094851	0.00108439549209	0.00510112884819	0.00809949928115	0.00108439549209	0.000987609983839	0.000987609983839	0.00240792020523	0.00809949928115
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_johnsonii	0.000574609445143	0.00175738297204	0.000574609445143	0.00129246930385	0.00129246930385	0.00329160511106	0.00227446560122	0.00374144832089	0.00110639652475	0.00175738297204
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0.0	0.0	0.000176002519615	3.09850775866e-06	6.87483672263e-06	1.96355639334e-05	1.96355639334e-05	0.0	6.87483672263e-06	7.7641861386e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor;s__Flavonifractor_plautii	0.00105400478622	0.00217244840435	0.00186788542879	0.00217244840435	0.00353917582491	0.0714199698017	0.00665882549061	0.00353917582491	0.0013254005655	0.0013254005655
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_phoceensis	0.0084277207183	0.0036775263309	0.00373496139343	0.0084277207183	0.00265368697493	0.0126914877795	0.00265368697493	0.0126914877795	0.00468958469356	0.00373496139343
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila	6.04756844552e-05	0.00174149861514	0.00015812124462	6.04756844552e-05	0.000380390041729	0.000322048226722	5.89066918002e-05	0.00027562860792	0.00174149861514	0.000287098178316
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila	0.000855298965866	0.000562903495048	0.000562903495048	0.00148212648097	0.000604209012939	0.000559613572102	0.00148212648097	0.000562903495048	0.000889078229623	0.000563584396763
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_callidus	0.000323986804901	0.000357680188492	0.000323986804901	0.000323986804901	0.000357680188492	0.000194570803645	0.000361034655445	0.000361034655445	0.000357680188492	0.000268635424676
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_senegalensis	0.00449546377425	0.00446864386971	0.00428055293748	0.00642844316753	0.00428055293748	0.00446864386971	0.00642844316753	0.00449546377425	0.00376677120321	0.0055721052561
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia_sp._KLE_1732	0.000233263354327	0.000194529100627	0.000733715590098	0.000735607529321	0.000399707500868	0.000437164674823	0.000733715590098	0.000342665567667	0.000399707500868	0.000194529100627
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus	0.0102399465913	0.0102399465913	0.00463164525303	0.0107106142975	0.010643374151	0.00887387515258	0.00887387515258	0.0147387882401	0.0107106142975	0.0147387882401
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_bicirculans	0.00391744968348	0.00201013403981	0.0076804119258	0.00969523077686	0.0114327120486	0.00599783379207	0.00969523077686	0.0124096764059	0.0114327120486	0.0120129287125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fluxus	0.000996588256419	0.00098177819667	0.0011854376395	0.00214291537425	0.000996588256419	0.0010799229367	0.0022241455658	0.000996588256419	0.0022241455658	0.00125799415002
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_stercorea	0.000196355639334	0.000125695816125	0.000196355639334	0.000125695816125	0.000196355639334	0.000229043491089	0.000125695816125	0.00015812124462	0.000611241282866	0.000155508902885
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena	0.000256218142574	0.00025139163225	0.000134287857599	0.000167733451418	0.000134287857599	0.000155508902885	0.000164996081343	0.00025139163225	0.000167733451418	0.000134287857599
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium]_eligens	0.000653785137078	0.000172787669872	0.000101896195567	0.000653785137078	0.000577486284701	0.000657547440659	0.00136469743221	0.000376563027722	0.000657547440659	0.00136469743221
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__Ruminococcaceae_bacterium_D16	0.00319679907602	0.00550777568332	0.00324840819359	0.00286921818452	0.00837401461747	0.00286921818452	0.00550777568332	0.0031302962668	0.00324840819359	0.0031302962668
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_comes	0.00164840612761	0.000846659582372	0.00310179236237	0.000846659582372	0.00263993730149	0.00185848664171	0.00164840612761	0.00185848664171	0.00112987025015	0.00112987025015
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	0.000197521996768	0.00120396010261	0.00120087430561	0.0887886395005	8.54060475246e-05	5.89066918002e-05	0.00120087430561	0.000197521996768	8.54060475246e-05	0.00120087430561
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_colihominis	0.00252838233107	0.00402529060635	0.00199579540087	0.00199579540087	0.00379268935369	0.00256778595798	0.00252838233107	0.00286110259207	0.00379268935369	0.00482584381298
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia_obeum	0.000316242489241	0.000587067079962	0.00100546210495	0.00100546210495	0.00024241335967	0.000587067079962	0.00024241335967	0.000416755420136	0.00024241335967	0.000416755420136
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_laneus	0.000732392766912	0.000592718819749	0.000725708213462	0.000486427009111	0.000433114713526	0.000433114713526	0.000687244737669	0.000518744268339	0.000518744268339	0.000604209012939
