#taxonomy	MCT.f.0238	MCT.f.0236	MCT.f.0235	MCT.f.0234	MCT.f.0233	MCT.f.0232	MCT.f.0231	MCT.f.0230	MCT.f.0229	MCT.f.0228	MCT.f.0226	MCT.f.0225	MCT.f.0223	MCT.f.0222
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0201234236651	0.0506939976101	0.0421719027497	0.0369024240115	0.0372143634385	0.0372143634385	0.0176312968917	0.0421719027497	0.0506939976101	0.0208248766867	0.0208248766867	0.0208248766867	0.032884697864	0.0208248766867
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.0108356896658	0.0509104552276	0.0202738053715	0.0540388562431	0.0509104552276	0.0332678723217	0.0253010386984	0.0253010386984	0.0202738053715	0.0202738053715	0.0253010386984	0.0540388562431	0.0202738053715	0.0248026189101
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.166941306491	0.166941306491	0.286859241944	0.114075550143	0.251125298549	0.104122621564	0.166941306491	0.236708905191	0.0618769478442	0.341050375134	0.156155987292	0.223724244175	0.114075550143	0.166941306491
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.0222511255628	0.0222511255628	0.0222511255628	0.151088003081	0.421683978307	0.259780651975	0.0222511255628	0.0365309038942	0.018660620858	0.151088003081	0.298414280271	0.0365309038942	0.0907301712261	0.421683978307
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00800809064828	0.00313062557076	0.00327363758906	0.00313062557076	0.00109870945239	0.00783619817998	0.00828551953252	0.00522306855277	0.00460181141366	0.00800809064828	0.00189931541159	0.00189931541159	0.00692020331925	0.00316184351554
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0156180719623	0.0188053097345	0.0313875530907	0.00844153940851	0.0156180719623	0.00441229010361	0.00844153940851	0.0223211605803	0.00755402365276	0.0313875530907	0.0156180719623	0.0223211605803	0.0234129752354	0.0400329109566
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.034667724161	0.027983991996	0.033160023108	0.0110582186305	0.0182900020518	0.034667724161	0.0371458635272	0.0176721333477	0.0110582186305	0.0176721333477	0.0359414076456	0.0293250784792	0.034667724161	0.0281735453626
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0282316504199	0.0615294706963	0.0894605216149	0.0615294706963	0.0162239176395	0.0361630815408	0.0615294706963	0.0452560307178	0.0452560307178	0.0147158985367	0.0157494099077	0.0894605216149	0.0201481273474	0.0615294706963
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.100213755815	0.100213755815	0.109202350493	0.0734867433717	0.0414479653851	0.0338955786377	0.109202350493	0.0414479653851	0.0414479653851	0.109202350493	0.0414479653851	0.0908266480642	0.0253039152959	0.00811838075206
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.00453508371652	0.00453508371652	0.00125229587577	0.000803784677568	0.00125229587577	0.00220608511812	0.00156958493198	0.000803784677568	0.000454066995521	0.00156958493198	0.00220608511812	0.00125229587577	0.000385133834007	0.00096463022508
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.00501537635962	0.0076288144072	0.0076288144072	0.00501537635962	0.00587145569233	0.00587145569233	0.00557271664719	0.00760639764684	0.00587145569233	0.00760639764684	0.00463899546564	0.0103197725438	0.00587145569233	0.00394848518396
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.000933031042902	0.00364351153077	0.00172086043022	0.00197232328596	0.00102270829855	0.000875312611647	0.000933031042902	0.000933031042902	0.00364351153077	0.000875312611647	0.000933031042902	0.000664231152441	0.00213681221357	0.00213681221357
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.00335066435586	0.0197418904779	0.00300845122175	0.0197418904779	0.00335066435586	0.00653841317742	0.00653841317742	0.0480797565523	0.0132366183092	0.00129156057419	0.00335066435586	0.0235108287409	0.00181727584489	0.00129156057419
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0270246504675	0.0309854927464	0.0297249017506	0.0571416114405	0.0270246504675	0.0160574601143	0.0324805560659	0.0243999285275	0.0324805560659	0.0297249017506	0.0160574601143	0.0571416114405	0.054881571346	0.0324805560659
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.00693548280358	0.00927963981991	0.00383676316707	0.00475687103594	0.00591105338903	0.00591105338903	0.00267101526696	0.00475687103594	0.00365317537306	0.00341947173246	0.00430510896749	0.00838291760706	0.00838291760706	0.00341947173246
