#taxonomy	MCT.f.0255	MCT.f.0254	MCT.f.0252	MCT.f.0250	MCT.f.0249	MCT.f.0247	MCT.f.0245	MCT.f.0244	MCT.f.0243	MCT.f.0242	MCT.f.0241
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0833213618733	0.0756437552726	0.112690284689	0.074157128934	0.049775205028	0.112690284689	0.0833213618733	0.0833213618733	0.112690284689	0.0318175122577	0.0810108870176
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.163641505405	0.136953188823	0.171276641257	0.0955344828818	0.163641505405	0.171276641257	0.131130584686	0.166377095593	0.0975653950885	0.118092510975	0.166377095593
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.273763832228	0.264365752047	0.147971768244	0.284859831784	0.147971768244	0.182309374552	0.284859831784	0.244552716218	0.266319848954	0.147971768244	0.264365752047
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000638244654701	1.42919414888e-05	5.12683213043e-05	2.87315040942e-05	0.000638244654701	9.53517319225e-05	4.01719358856e-05	4.01719358856e-05	4.52996572326e-05	0.000638244654701	5.12683213043e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00174747921102	0.00265455974753	0.00196958336597	0.00129373916493	0.00196958336597	0.000953964212313	0.00216216494819	0.00129373916493	0.00285387840565	0.00285387840565	0.00285387840565
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0343590117852	0.0343590117852	0.0515492079364	0.0343590117852	0.0298927404783	0.0294989872313	0.0293596586669	0.0111108772964	0.0293596586669	0.0111108772964	0.0207728774601
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.050526527826	0.102810088737	0.0509474483151	0.050526527826	0.0509474483151	0.0799436038804	0.0343212629258	0.0477379104168	0.0930191011798	0.0509474483151	0.0640928027582
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0163717093496	0.0163717093496	0.0333141789973	0.0286024183505	0.0159756791174	0.0319936053189	0.0277680609418	0.0333141789973	0.0163717093496	0.0163717093496	0.0571179176132
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0744720586123	0.312486409517	0.0869652752961	0.0694874195185	0.144074813206	0.312486409517	0.0869652752961	0.0744720586123	0.0869652752961	0.0779335448626	0.0271712977988
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0320483972953	0.0320483972953	0.0320483972953	0.0305460561751	0.0677531873342	0.0677531873342	0.0330412297084	0.0400183529359	0.0307074387902	0.0320483972953	0.0677531873342
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0147159211719	0.0142580089068	0.00591317522779	0.033103233064	0.0324756333062	0.00591317522779	0.018456850331	0.0147159211719	0.0102438436508	0.0324756333062	0.0173669005791
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.0208090627887	0.0226264191356	0.0236307859564	0.0225025826893	0.0236307859564	0.0223947716326	0.0236307859564	0.0223947716326	0.0201658478721	0.0240943843525	0.0236307859564
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.0164571706243	0.0163721617297	0.00998419767275	0.0163721617297	0.0164571706243	0.00646393757683	0.00340431453702	0.0164571706243	0.00420522293218	0.00420522293218	0.0163721617297
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0457704316297	0.027597883707	0.0545699179769	0.0190157894472	0.0545970406551	0.0125556216057	0.0814084280721	0.0457704316297	0.0457704316297	0.0190157894472	0.0778322566164
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.0227774876471	0.0147727215531	0.0147727215531	0.0391230877696	0.0227774876471	0.0268711392041	0.0483794071184	0.0147727215531	0.00885924117758	0.00885924117758	0.00885924117758
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.00339916038934	0.00196404396653	0.00342256324821	0.00442037175886	0.00339916038934	0.00442037175886	0.00457960069096	0.00342256324821	0.00302734964595	0.00457960069096	0.00442037175886
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.002400827455	0.0021304835742	0.00299280922348	0.0021304835742	0.00157824961596	0.0025788534021	0.00214767993104	0.00267214562328	0.0027369067951	0.00157824961596	0.0025788534021
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	0.000112231083802	0.0	5.69648014492e-06	0.0	1.50998857442e-05	1.50998857442e-05	5.03318124737e-06	0.0	0.0	0.0	5.03318124737e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_intestinihominis	0.00211232245814	0.000831686101158	0.00212949928183	0.00120544690875	0.00124472666266	0.00212949928183	0.00107431819962	0.0019824737825	0.00216928453782	0.00120544690875	0.0019824737825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	0.0207712151161	0.0473029087413	0.0248312024134	0.0448751664634	0.0132386198568	0.0300887799783	0.0132386198568	0.0187776632085	0.0218339402511	0.0340107001252	0.0248312024134
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	0.00204821727938	0.00435189618334	0.00494761716617	0.00435189618334	0.0035975950747	0.00360521980628	0.00435189618334	0.00311104645307	0.00311104645307	0.00332567159891	0.00204821727938
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__[Eubacterium]_siraeum	4.32852962734e-05	4.32852962734e-05	0.000167862218691	0.000182375511178	0.000182375511178	0.000120799085954	4.32852962734e-05	4.32852962734e-05	6.02579038284e-05	4.32852962734e-05	6.02579038284e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_excrementihominis	0.0118592756786	0.0118592756786	0.0201142713917	0.0105904691549	0.00791387136946	0.0116518145877	0.0140192816664	0.0094813963511	0.00838546988328	0.0201142713917	0.00838546988328
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	0.0135659322545	0.00328968251678	0.00572021048764	0.00572021048764	0.0289618281315	0.0135982002973	0.0144007018064	0.0264957780979	0.0144007018064	0.0206990570487	0.0127065076857
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp._KLE_1745	0.000850626896923	0.000850626896923	0.00186509836429	0.00181123483091	0.00215486280707	0.00178765114691	0.000850626896923	0.00181123483091	0.00102536642609	0.000795242637085	0.000850626896923
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus	0.0018513560471	0.00130932530579	0.0018513560471	0.00221660643592	0.00167608731761	0.00162823413353	0.00162823413353	0.00157925953451	0.00150055693748	0.00221660643592	0.000869790899462
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	0.000833963374868	0.00133379303055	0.000522235166513	0.000778910811139	0.000672744365766	0.000734861106218	0.000833963374868	0.00172921654378	0.000734861106218	0.00172338544523	0.000734861106218
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	0.0103179310422	0.0139170613609	0.0103179310422	0.00927547002623	0.0144401969987	0.00487308418792	0.00517885361299	0.00140990299026	0.0054770328218	0.0144401969987	0.00927547002623
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_johnsonii	0.00162213535898	0.00176916320845	0.00256194728127	0.00256194728127	0.00154366722761	0.00176916320845	0.00106455630097	0.00214187653449	0.00106455630097	0.000715869004597	0.00154366722761
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0.00752022739735	0.00263611550065	0.000719761220473	0.00263611550065	0.0043184831077	0.00277988231072	0.0019226752365	0.00752022739735	0.00752022739735	0.00277988231072	0.0047768355043
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor;s__Flavonifractor_plautii	0.000330395848405	0.0015852640587	0.000330395848405	0.000330395848405	0.000371590478709	0.000261725424863	0.000672744365766	0.000261725424863	0.000672744365766	0.000895265166351	0.000261725424863
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_phoceensis	0.0012498204281	0.0012498204281	0.00078016076345	0.000883782589483	0.000520934259103	0.00171986910526	0.000422621460545	0.000505039877107	0.000883782589483	0.00116226029992	0.00148108483768
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila	5.74630081885e-05	5.74630081885e-05	5.74630081885e-05	2.00859679428e-05	2.14379122332e-05	5.03329524807e-05	0.000410204271661	0.000118313143147	1.28853691787e-05	1.28853691787e-05	2.00859679428e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila	0.000214379122332	0.000176165333682	0.000158023272518	0.000100717331215	0.000214379122332	8.24663627438e-05	0.000100429839714	0.000214379122332	0.000176165333682	8.24663627438e-05	9.23419653833e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_callidus	0.000557385718063	0.000559225022356	0.000705021318502	0.000281864533892	0.00050214919857	0.00127087826496	0.000322664365929	0.000322664365929	0.00127087826496	0.000705021318502	0.000705021318502
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_senegalensis	0.00178335420647	0.00215093719406	0.00193198381964	0.00178335420647	0.00370362576545	0.00215093719406	0.00246631467155	0.00193198381964	0.00246631467155	0.00203275391467	0.00203275391467
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia_sp._KLE_1732	0.00346794042592	0.00674806119137	0.00209021692286	0.0189578859223	0.00382064881773	0.010903599399	0.0189578859223	0.00275177760816	0.00589385524067	0.0189578859223	0.00209021692286
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus	0.0102180977587	0.00616382618934	0.00897667875469	0.0092461633707	0.00616382618934	0.00715414451947	0.00970243624033	0.0092461633707	0.00723886836407	0.00616382618934	0.00715414451947
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_bicirculans	0.0101115486033	0.00431091973838	0.00313545590371	0.00431091973838	0.00277837897693	0.0101115486033	0.0101115486033	0.00580484473547	0.00580484473547	0.00431091973838	0.00313545590371
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fluxus	0.00100049162088	0.00113749896191	0.000441909892469	0.000441909892469	0.000754201982474	0.000821786635606	0.000857048866214	0.000903868557426	0.000441909892469	0.00100049162088	0.00093805487621
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_stercorea	7.79135332922e-05	2.23816291588e-05	2.23816291588e-05	9.48742054285e-05	2.23816291588e-05	9.33773883063e-05	0.00013086567645	7.0144427376e-05	0.00013086567645	0.000142919414888	9.33773883063e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena	0.000750326928162	0.000958047890852	0.000553662477287	0.000553662477287	0.00177818094666	0.000553662477287	0.000843610653597	0.000459704065508	0.00159501444058	0.000792726046461	0.000459704065508
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium]_eligens	0.000181123483091	0.000241031615314	0.000586737454927	0.0004781522185	0.000564531688807	0.000962410053828	0.000241031615314	0.0004781522185	0.000165206148542	0.000397630324597	0.000397630324597
