#taxonomy	MCT.f.0272	MCT.f.0271	MCT.f.0269	MCT.f.0267	MCT.f.0266	MCT.f.0265	MCT.f.0264	MCT.f.0263	MCT.f.0261	MCT.f.0260	MCT.f.0259	MCT.f.0258	MCT.f.0256
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0711334406704	0.0970002005473	0.0905122516782	0.168077706969	0.0804812393562	0.0905122516782	0.0748028120713	0.0804812393562	0.0905122516782	0.121250391037	0.0970002005473	0.0748028120713	0.121250391037
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.315105429575	0.273102549815	0.302226223137	0.289243508008	0.329434625901	0.19462518849	0.19462518849	0.295416506883	0.19462518849	0.193102059602	0.313397921056	0.315105429575	0.273102549815
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.00284777355885	0.00352337426916	0.00417889356393	0.00421524919982	0.00318768465246	0.0039315755332	0.00223089793642	0.00363717483657	0.00421524919982	0.00223089793642	0.00363717483657	0.00346717782272	0.00383119566519
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	9.67662164051e-05	0.000157178783722	0.000185908161368	0.000156959998744	9.69913289752e-06	5.64982391382e-05	5.83113046183e-05	0.000185908161368	2.9003008403e-05	0.000185908161368	5.83113046183e-05	5.83113046183e-05	9.69913289752e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0218615160722	0.0218615160722	0.0453869187744	0.0379843196961	0.0519074751299	0.0519074751299	0.0425866894729	0.0453869187744	0.0591416407778	0.0519074751299	0.0519074751299	0.0472541754767	0.0591416407778
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0421667809785	0.0416329830234	0.0421667809785	0.0397877468512	0.0273110397815	0.0260477990539	0.0421667809785	0.02754611627	0.0404747283984	0.0370462617336	0.0470026464158	0.0421667809785	0.0580335486506
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.00294351682333	0.00294351682333	0.00233245218473	0.00269997702147	0.00269997702147	0.00263658449312	0.00263658449312	0.00399838913819	0.00294351682333	0.00181776868893	0.00335229620704	0.00345311997238	0.00294351682333
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0339363283036	0.0231437518149	0.0383274050215	0.00839682786503	0.0231437518149	0.0231437518149	0.0210089469973	0.00973710091201	0.0240231092061	0.00973710091201	0.0339363283036	0.00839682786503	0.162587015348
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0428256652668	0.0422591220345	0.0595112681002	0.0922325399698	0.0595112681002	0.0667001514664	0.0470230040595	0.0667001514664	0.0709743537515	0.0535184604148	0.0617685684157	0.102347255782	0.0667001514664
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0124351903493	0.0160939200746	0.0186638374402	0.0178597211498	0.0160939200746	0.0152938859215	0.0284202048096	0.0284202048096	0.0284202048096	0.0177050878584	0.0152938859215	0.0186638374402	0.0120754204574
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.00405623087523	0.00572150256677	0.00405623087523	0.00439892324864	0.00405623087523	0.00315786465478	0.00483134838541	0.00295387411952	0.00439892324864	0.00388935229191	0.00444251538285	0.00442986998044	0.00442986998044
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00585299715466	0.00430098308185	0.00419974686457	0.00622736146946	0.00582403534587	0.00585299715466	0.003367003367	0.00430098308185	0.00585299715466	0.0045753839634	0.00622736146946	0.00546182553258	0.00419974686457
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.000789250664717	0.000690623994475	0.000914494741655	0.00112057077921	0.000690623994475	0.000516411559356	0.000690623994475	0.000727434967314	0.000789250664717	0.000719172756958	0.000778716776878	0.000719172756958	0.000799217268827
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0680589055383	0.0680589055383	0.0459104338361	0.0766885283627	0.0459104338361	0.0437549467664	0.0852079072938	0.0478360778872	0.0852079072938	0.0478360778872	0.0459104338361	0.0465189030113	0.0437549467664
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.00703623075727	0.00418667123914	0.0219766829258	0.0051476173437	0.00751682799558	0.0121385564271	0.00751682799558	0.00359422445312	0.0051476173437	0.0219766829258	0.00677228278908	0.0051476173437	0.00703623075727
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.000591349100253	0.000669240169929	0.00138509459494	0.000913436750075	0.000578380946479	0.00101890966961	0.000578380946479	0.00101890966961	0.00061442615455	0.000669240169929	0.00101890966961	0.000591349100253	0.000578380946479
