#taxonomy	MCT.f.0340	MCT.f.0338	MCT.f.0337	MCT.f.0336	MCT.f.0335	MCT.f.0334	MCT.f.0331	MCT.f.0330	MCT.f.0329	MCT.f.0327	MCT.f.0326	MCT.f.0325
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0604375564621	0.0257585182719	0.0537894405814	0.0179713676515	0.0550959319407	0.0354487519915	0.0179713676515	0.0413954761253	0.0463379896707	0.0354487519915	0.0225915346663	0.016535958457
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.248604821037	0.24197511136	0.218346173485	0.212104115749	0.203345552257	0.203345552257	0.218346173485	0.24197511136	0.145912910619	0.145912910619	0.236045537618	0.238796737207
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.0873962394441	0.130067268543	0.0873962394441	0.0873962394441	0.141471745601	0.102280565798	0.151416890877	0.141471745601	0.1750338071	0.130067268543	0.151416890877	0.0873962394441
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000101000465724	0.000105136809273	2.53832876434e-05	6.72023374726e-05	6.72023374726e-05	5.80209068668e-05	0.000108319647786	0.0	4.42556204638e-05	4.42556204638e-05	0.000105136809273	3.19347339198e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0227796420092	0.0326356616234	0.0227796420092	0.0547826962639	0.0227796420092	0.00721519951264	0.0424008107164	0.0151949589545	0.0151949589545	0.0151949589545	0.0257279011934	0.0154335612266
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.00775198410338	0.00968936720361	0.00444826952645	0.00607165073552	0.00885025566107	0.00607165073552	0.00775198410338	0.00607165073552	0.00529876129556	0.00789000826045	0.00789000826045	0.00968936720361
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.19814608034	0.159638701562	0.180388715455	0.19814608034	0.180388715455	0.127137298764	0.19814608034	0.19814608034	0.233177226114	0.174658875091	0.181268556453	0.181268556453
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0079948249266	0.0123841977931	0.0079948249266	0.0127597255032	0.0079948249266	0.00539956172389	0.00539956172389	0.0123841977931	0.01094935577	0.0235429992893	0.0079948249266	0.0121247228492
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.020122995213	0.00981886618921	0.0262825656363	0.0281892219144	0.0366038791123	0.0281892219144	0.0127940459051	0.0262825656363	0.0173186994748	0.00877558947505	0.0262825656363	0.0127940459051
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0371992080414	0.0618520663963	0.0188478091316	0.0202026907417	0.0371992080414	0.0202026907417	0.0188478091316	0.0164121737307	0.022652094761	0.0236742827459	0.0177852447042	0.0177852447042
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.00797287470321	0.0100373529353	0.0115521284401	0.0143680771515	0.0150971512053	0.00766842985756	0.0123052234074	0.00991851964666	0.0123052234074	0.0115521284401	0.0111819201039	0.00704108543847
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00898004717825	0.00687743179087	0.0054152846409	0.00407486566926	0.00652689545357	0.00375385064276	0.00683345082073	0.00739019532478	0.0078848763793	0.00304599451721	0.00375385064276	0.00898004717825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.0657306037893	0.0399996005034	0.0208650624429	0.018679475022	0.0244268017909	0.050266217718	0.0197224251278	0.050266217718	0.114973882417	0.114973882417	0.0379281039453	0.0383474951319
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0283023657224	0.0173481413419	0.0218144631118	0.0260965890291	0.0171389636256	0.0264068619291	0.0260965890291	0.02382725242	0.0218144631118	0.0155583937368	0.0118584311956	0.0155583937368
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.00488010023042	0.00349012720448	0.00191336622981	0.0031317329064	0.00488010023042	0.00370048665564	0.00291071549448	0.0031317329064	0.00291071549448	0.00672630070932	0.00672630070932	0.00375435180268
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.140368620825	0.136990164043	0.0374530409179	0.0765635299523	0.122595444621	0.140368620825	0.136990164043	0.140368620825	0.0584680473804	0.140368620825	0.122595444621	0.0374530409179
