#taxonomy	MCT.f.0561	MCT.f.0560	MCT.f.0559	MCT.f.0558	MCT.f.0557	MCT.f.0556	MCT.f.0555	MCT.f.0554	MCT.f.0553	MCT.f.0552	MCT.f.0551	MCT.f.0550	MCT.f.0549	MCT.f.0548	MCT.f.0547	MCT.f.0546	MCT.f.0545
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.237206935225	0.117414878368	0.104384986994	0.250422484807	0.197591404565	0.0664467712656	0.163644456346	0.244819420631	0.250422484807	0.237206935225	0.250064791254	0.197591404565	0.104384986994	0.12672583246	0.12672583246	0.250064791254	0.104384986994
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.117468893255	0.0634528759529	0.167012757723	0.0708185377401	0.167012757723	0.117468893255	0.120416454044	0.0708185377401	0.122466293982	0.167012757723	0.163921286228	0.215977314747	0.122879905689	0.215977314747	0.15806447816	0.163921286228	0.146420940325
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.301895206243	0.301895206243	0.380572180204	0.374181470436	0.0939060880219	0.22546204746	0.374181470436	0.300069300069	0.124657870146	0.124845674104	0.301895206243	0.0939060880219	0.167559382628	0.380572180204	0.22546204746	0.25962539268	0.124845674104
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	8.48211060044e-05	2.43127593361e-05	4.33125433125e-05	8.48211060044e-05	5.3017701285e-05	3.71609067261e-05	8.18598559267e-05	1.17802280652e-05	9.0500240077e-05	8.18598559267e-05	1.03870203793e-05	3.19264414788e-05	2.60209681693e-05	0.000114085792516	1.17703833614e-05	1.03870203793e-05	5.3017701285e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00224993652414	0.00186224675764	0.00147651554897	0.0028875028875	0.00179695452562	0.00179695452562	0.00164953280974	0.00145485816605	0.00164953280974	0.00162204829136	0.0019861887537	0.00320617769046	0.00250510957193	0.00267558528428	0.0028875028875	0.00121969009336	0.00334651658047
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0263856470123	0.153413028413	0.0834097132068	0.0901895725586	0.0449097186203	0.0758511222134	0.104109381165	0.0734143813024	0.075936628256	0.0774667103253	0.0758511222134	0.0734143813024	0.0853643514527	0.104109381165	0.0403443798821	0.104109381165	0.0263856470123
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.0527113652114	0.0123768171466	0.0419427882918	0.0251654243991	0.0413507850751	0.0123768171466	0.0527113652114	0.0402773984036	0.0251654243991	0.0427912287103	0.0304586693882	0.0413507850751	0.00867613797003	0.0402773984036	0.0284101661557	0.0402773984036	0.00974674650652
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.00487066142764	0.00525485037817	0.0266072092159	0.0129288003016	0.00665764393154	0.00811853385105	0.00618308749973	0.00665764393154	0.0266072092159	0.00665764393154	0.00612282724454	0.00787100699114	0.00787100699114	0.0254966504967	0.0129288003016	0.0129288003016	0.00908085076331
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0406549857365	0.0569277567548	0.0585991450181	0.0103163427871	0.0358616252224	0.0194857714492	0.0358616252224	0.055809272708	0.0499377826338	0.0308126711287	0.0675771088815	0.0439890313065	0.0406549857365	0.0194857714492	0.046141672124	0.055809272708	0.0194857714492
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0173815760751	0.0535565071315	0.0308230195678	0.0406137077885	0.0406137077885	0.0406137077885	0.0383436562161	0.0535565071315	0.0233015455442	0.0274004797718	0.0511733107153	0.045624330463	0.045624330463	0.0233015455442	0.0107952434039	0.0107952434039	0.0511733107153
