#taxonomy	MCT.f.0085	MCT.f.0083	MCT.f.0081	MCT.f.0080	MCT.f.0078	MCT.f.0077	MCT.f.0076	MCT.f.0075	MCT.f.0074	MCT.f.0072	MCT.f.0071	MCT.f.0070	MCT.f.0069
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.32932786445988	0.272696855251216	0.206491019472318	0.220180205239264	0.43687481873653	0.276491155062292	0.231717867805544	0.325136791728916	0.183787537813274	0.305698577056063	0.395656221361741	0.331712330967141	0.241405218405434
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.197662674938681	0.324521010301258	0.472187959536694	0.335641364420558	0.367013744746914	0.280017240290261	0.310897516040468	0.406773343856979	0.318065563042157	0.487333942387406	0.305328663070999	0.319153309992612	0.233317166574619
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.000103056660551971	7.11008502825213e-05	0.000118530371555674	0.000288089963541718	6.82403653134223e-05	4.83025373694438e-05	4.500832654041e-05	9.39611188890037e-05	4.67448864433151e-05	7.35276546700171e-05	6.52001463381062e-05	0.00013490508463688	0.000513037603133174
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000103056660551971	7.52832532403167e-05	5.55611116667222e-05	9.93413667385236e-05	5.68669710945186e-06	4.83025373694438e-05	6.50120272250366e-05	7.20368578149029e-05	2.67113636818944e-05	4.77929755355111e-05	0.000148511444436798	8.99367230912536e-05	0.000126156787655698
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00226724653214337	0.00138019297607247	0.00141125223633474	0.00110931192858018	0.00218369169002951	0.00137476452513032	0.00131024239484305	0.00199823979503948	0.00100835397899151	0.00149261138980135	0.00202482676683341	0.00155462049914881	0.000759744210104318
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0200136034791929	0.0486873528316959	0.0426931582047094	0.0824169092251704	0.0458802722790576	0.0400390878994713	0.0411226076824212	0.0547949924987707	0.0371555068815151	0.0565280609103091	0.0460602811575199	0.0473388366042463	0.0720215083305532
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.000350392645876703	0.000414057892821742	0.000655621117667322	0.00045034752921464	0.000659656864696416	0.000401282618146149	0.00046508604091757	0.000629539496556325	0.000360603409705574	0.000595574002827138	0.000467267715423095	0.000417563357209392	0.000384077331307349
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0717892697405033	0.1030125848505	0.0470602615817137	0.00297692962326442	0.0191926027444	0.169044018473863	0.0915219315573381	0.0650712068679314	0.141056033763164	0.0199554054774426	0.0840828331636922	0.0924035589246138	0.00162321733450332
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.000989343941298926	0.000740285323529781	0.000755631118667422	0.00103646159297193	0.00100654538837298	0.000720822480744008	0.000725134149817716	0.000914554890519636	0.000601005682842623	0.000880493664673455	0.000916424279085604	0.00103427231554942	0.00190356575151598
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.000762619288084589	0.000723555711698599	0.000522274449667189	0.000500018212583902	0.000762017412666549	0.000590777187826274	0.000640118421908053	0.000801801547852832	0.000480804546274099	0.000658072509296653	0.000880201975564434	0.000822278611120033	0.000529858508153934
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0135416451965291	0.01267268096212	0.0139199105095695	0.0112023947892142	0.0159511853920125	0.0124323300029353	0.0137875506968789	0.015121476066537	0.00968954717560718	0.0144408313771914	0.0145360104030456	0.013541900876883	0.0088730273984508
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00158707257250036	0.00119616724592948	0.00158163964544603	0.00114573709638431	0.00145010776291022	0.00130788408877263	0.00122522666693338	0.00172575255026137	0.00101503181991199	0.00154591893943711	0.00133660299993118	0.00163813317059069	0.00124474697153623
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.000968732609188532	0.00209956628481328	0.00227800557833561	0.00234445625502916	0.00201309077674596	0.00137848010492797	0.00179533213644524	0.00229891537548429	0.00169617159380029	0.00231244473937204	0.00158653689422725	0.00198503195965696	0.00187553090981472
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.000103056660551971	7.52832532403167e-05	0.000114826297444559	0.000129143776760081	0.000142167427736296	8.91739151435886e-05	0.000140025904792387	0.000140941678333506	7.34562501252095e-05	0.000115806056105277	0.00014488921408468	0.000154177239585006	0.000126156787655698
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.146608405301235	0.0777174117617536	0.10270286287888	0.0207987708161556	0.0170714647225745	0.0535637983629155	0.0515895440656521	0.0168973412135392	0.14142999285471	0.0116394277342637	0.0114716035251546	0.0171265216972344	0.0329325285464776
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.00311231114866954	0.00222503837354714	0.00231134224533564	0.0027517558586571	0.00257607379058169	0.00200269751093309	0.00216540059911084	0.00269042003752181	0.00170284943472077	0.00215252209046475	0.00278549514077798	0.00285227893232262	0.00409028340421476
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.0136653131891914	0.0128859835129675	0.0116382008571227	0.0842845269198547	0.0149958202776246	0.00989087342134303	0.00581107504888404	0.012857013101312	0.0050818369404804	0.0124169826823991	0.0134022523028329	0.0191950663283333	0.189683738950768
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	0.000123667992662366	8.36480591559074e-05	2.96325928889185e-05	4.63593044779777e-05	5.68669710945186e-05	4.08713777741448e-05	8.50157279096633e-05	4.69805594445019e-05	3.3389204602368e-05	2.75728705012564e-05	1.81111517605851e-05	7.70886197925031e-05	8.13010409336724e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_intestinihominis	0.000329781313766309	0.000455881922399696	0.000437080745111548	0.00050664097036647	0.000375322009223823	0.000334402181788457	0.00034506383680981	0.000454145407963518	0.000367281250626048	0.000400725717951593	0.000322378501338414	0.000456107667105644	0.000426129593859248
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	0.00195807655048746	0.00172315001861169	0.00191871038955747	0.00220537834159522	0.00207564444494993	0.00175746924428822	0.00169531363302211	0.00228012315170649	0.00121536704752619	0.00205693613939373	0.00198498223296012	0.00190151928821508	0.00243342425966992
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	0.0113156213286065	0.0135342559714258	0.0139495431024584	0.0134806234664177	0.0148479661527788	0.0122539821726481	0.0164830493641324	0.0217613951346933	0.0218565733327101	0.0168709203640354	0.0137391197255798	0.0187325346095783	0.016913419998374
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__[Eubacterium]_siraeum	2.06113321103943e-05	2.09120147889769e-05	3.33366670000333e-05	3.31137889128412e-06	5.68669710945186e-06	1.85778989882476e-05	1.00018503423133e-05	6.26407459260025e-06	1.33556818409472e-05	5.51457410025128e-06	1.4488921408468e-05	6.42405164937526e-06	8.4104525103799e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_excrementihominis	6.18339963311829e-05	1.67296118311815e-05	7.40814822222963e-06	3.31137889128412e-06	3.41201826567112e-05	1.48623191905981e-05	4.500832654041e-05	1.25281491852005e-05	1.33556818409472e-05	5.51457410025128e-06	3.62223035211701e-06	1.28481032987505e-05	1.12139366805065e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	2.06113321103943e-05	4.18240295779537e-06	7.40814822222963e-06	4.96706833692618e-05	0	7.43115959529905e-06	5.00092517115666e-06	1.56601864815006e-05	0	2.02201050342547e-05	3.62223035211701e-06	1.92721549481258e-05	2.24278733610131e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp._KLE_1745	0.0120576292845807	0.0195778282454401	0.0083749115652306	0.0122388563821861	0.002126824718935	0.0111504549727462	0.0333861764426419	0.00431594739430157	0.0163540324142398	0.00244663270914482	0.00621936951458491	0.00432981081167893	0.0246426258554131
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus	0.000371003977987097	0.000531165175640012	0.000551907042556107	0.000539754759279311	0.00079613759532326	0.000516465591873284	0.000575106394683016	0.000629539496556325	0.000360603409705574	0.000744467503533923	0.000720823840071286	0.000648829216586901	0.000510234118963047
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	0.0050497763670466	0.0025303537894662	0.00215206705855771	0.000559623032627016	0.00189367013744747	0.00564025013283198	0.0028855338237574	0.00150650993952036	0.00328549773287301	0.00218193315233276	0.00165535927091747	0.00106639257379629	0.000661622264149886
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	0.00399859842941649	0.00109997197790018	0.000988987787667656	0.0005629344115183	0.000898498143293394	0.00277182252904655	0.00245045333386677	0.000701576354371228	0.00169617159380029	0.00158452095813887	0.00185820417063603	0.00129123438152443	0.00106812746881825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_johnsonii	0.00208174454314982	0.00206192465819312	0.00181129224033514	0.00196695906142277	0.00248508663683046	0.00185778989882476	0.00244045148352445	0.0024993657624475	0.00169617159380029	0.00217641857823251	0.00295573996732748	0.00289724729386824	0.00343426810840513
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0.0373065111198137	0.0139775906849521	0.00927870564834261	0.124795936275825	0.00847317869308327	0.0214166019536519	0.0376369628381251	0.0186136976519116	0.00792659717260215	0.0171411344949477	0.015941435779667	0.0423601965759805	0.0501094760568434
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor;s__Flavonifractor_plautii	0.0236618092627327	0.0387332337921429	0.0150533571875706	0.0170502899112219	0.0033778980830144	0.0244002125311644	0.0707880957977226	0.00703768780478638	0.0233457318579757	0.00435099896509826	0.00624834735740185	0.00824848231779783	0.0225231918227974
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_phoceensis	0.0124698559267885	0.00344630003722339	0.00579687598389469	0.004440559093212	0.00221212517557677	0.00941899478704154	0.0125873286558013	0.00159733902111306	0.00418700625713694	0.00382159985147414	0.00412934260141339	0.00905791282561912	0.00605552580747353
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila	0	4.18240295779537e-06	0	6.62275778256824e-06	0	0	0	0	0	0	0	0	0
