#taxonomy	MCT.f.0170	MCT.f.0169	MCT.f.0168	MCT.f.0167	MCT.f.0166	MCT.f.0163	MCT.f.0162	MCT.f.0161	MCT.f.0160	MCT.f.0159	MCT.f.0158	MCT.f.0157	MCT.f.0155	MCT.f.0154
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.044885668580032	0.110378830803487	0.094614549402823	0.120603782226208	0.126249810634752	0.118468001390903	0.0949998046659966	0.0239942937128944	0.0254958641288246	0.0670843908629442	0.0687824804814967	0.137675872850443	0.122430943180192	0.0874923453766075
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.0691320849408739	0.131714364291229	0.0964820846905537	0.102831262841186	0.0923108241175579	0.110435847714877	0.0987963873863955	0.0707279270195912	0.0701616713243596	0.0930044416243655	0.0830243407217616	0.0962654160152857	0.111249463288965	0.0705151964418087
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.115742918979957	0.106793639433129	0.120521172638436	0.102640434071841	0.101158915315861	0.0772170655071628	0.126679428488221	0.276787102933053	0.178575146336971	0.127300126903553	0.0711899639844335	0.0647559492791384	0.08531558608845	0.154861088729171
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	9.40999341300461e-05	6.62697110971945e-06	0.000195439739413681	1.27219179563511e-05	2.84047871534616e-05	5.63879743246757e-05	5.68244373492821e-05	8.04457768648672e-05	0.000120112425230015	0.000666243654822335	9.185178023253e-05	3.47403161368768e-05	4.65149563475025e-05	6.04312373094402e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00100373263072049	0.00227636457618863	0.00186753528773073	0.00223269660133962	0.00204514467504923	0.00215214102005846	0.00196044308855023	0.00173762878028113	0.00166555896318955	0.0021256345177665	0.00164849773996278	0.00156331422615946	0.0019071132102476	0.00211912205498437
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.00843762742699413	0.0182142300950639	0.0149402823018458	0.0125501720639404	0.0107370095440085	0.0233540193661365	0.0126860556382272	0.00709531751948129	0.00795945004524235	0.0182899746192893	0.0129220951874501	0.0238665971860344	0.0140904536997281	0.0128879685435266
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.201656158840689	0.132400255801085	0.161541802388708	0.154749410021055	0.128091387668535	0.0721640764746238	0.0881950782934201	0.150379972219392	0.266849771386017	0.156043781725888	0.140958642527374	0.0893868334201841	0.0732539001001861	0.0444048731749766
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.134625639095386	0.0180386153606563	0.0233224755700326	0.00503151855173686	0.0253370701408877	0.0480112274722211	0.0111304866657906	0.0166093713966996	0.031205208074758	0.0187341370558376	0.106335355683933	0.0357477853048463	0.0241162158293975	0.0316861120959165
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.00492456321947241	0.004582550522371	0.0041042345276873	0.00449083703859194	0.00377783669141039	0.00416017943906496	0.00339881165895393	0.00549176503397493	0.00619780114186879	0.00390228426395939	0.00403180972178579	0.00368247351050895	0.00309503363389151	0.00288458439423728
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.00724569492801355	0.0152320930956901	0.0100977198697068	0.011487891914585	0.0119489471292228	0.050855687510377	0.0308237057346512	0.016346581858941	0.0206993746146393	0.0539022842639594	0.0174034952019531	0.0208441896821261	0.019164162015171	0.0113248138717891
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.00981775979423481	0.0194501602070266	0.0182193268186754	0.0194009248834354	0.0161670580215119	0.0214806855524612	0.0190894594220244	0.011482293884512	0.00994530880904527	0.017988578680203	0.0137584298179884	0.0170922355393434	0.0190747101760412	0.0164896702871692
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00191336532731094	0.00280652226496619	0.00425624321389794	0.00651998295262994	0.00464891683078321	0.00145355667148053	0.00318927154622846	0.00307302867623793	0.00557321653067271	0.00479060913705584	0.00382393464020691	0.00267500434253952	0.0037712895377129	0.00369839172333774
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.0112292588061855	0.00667667339304234	0.0047557003257329	0.00369571716631999	0.0033991061960309	0.00934787307693513	0.008122343013613	0.00241873635773701	0.00245029347469231	0.00721763959390863	0.0144207294965072	0.0171617161716172	0.0122620581079147	0.00782383085699552
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0945077005112763	0.0609383128394252	0.0719869706840391	0.0569433047726275	0.0429433040448417	0.0402422176763769	0.0316441085488814	0.0461490606614788	0.0740853438818734	0.0679092639593909	0.04715863769307	0.0456835157199931	0.0396414770287677	0.0275687304605666
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.051002164298485	0.00581185366322396	0.0139630836047774	0.0103365583395353	0.019821807301924	0.0171482095251819	0.0131370996096871	0.0158317288870059	0.0158468326353467	0.00496510152284264	0.0560295859418433	0.00458572173006774	0.00917060254758838	0.0320809295130048
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.0534801292305762	0.19807022601285	0.221498371335505	0.27002906958253	0.283366156642933	0.204240375669216	0.316139205665396	0.180632947372373	0.136447715061297	0.226586294416244	0.195054506780112	0.259996525968386	0.319182052382997	0.35127066748316
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.000345033091810169	0.000858192758708668	0.000803474484256243	0.00106228014935532	0.000856877745796091	0.000864615606311694	0.00105480361829605	0.000530942127308123	0.000472442205904727	0.000935913705583756	0.000739648546083005	0.00145909327774883	0.00132030914555603	0.00105150352918426
