#taxonomy	MCT.f.0255	MCT.f.0254	MCT.f.0252	MCT.f.0250	MCT.f.0249	MCT.f.0247	MCT.f.0245	MCT.f.0244	MCT.f.0243	MCT.f.0242	MCT.f.0241
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0810108870176216	0.0516725144527258	0.04977520502802	0.0923387431643107	0.119956478891693	0.112690284689347	0.0833213618732941	0.0741571289340452	0.112781029331125	0.0756437552725666	0.0318175122577387
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.0975653950885105	0.0955344828818271	0.163641505404891	0.17127664125749	0.166377095592633	0.130031414530058	0.131130584686108	0.118092510975221	0.136953188822614	0.12812838950709	0.0346583615664654
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.244552716217781	0.284859831783849	0.27974132706947	0.182309374551732	0.147971768244402	0.176042490793404	0.26436575204712	0.273763832227905	0.128582459517228	0.266319848953521	0.227141684728857
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	4.52996572325936e-05	1.42919414887915e-05	7.21421604557076e-05	0.000183711115529126	5.12683213042661e-05	9.53517319224713e-05	2.87315040942393e-05	0.000638244654701017	2.23816291587865e-05	4.01719358855903e-05	4.9101099163177e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0028538784056534	0.00184366045205411	0.00203440892485095	0.00310043964838196	0.002654559747532	0.00216216494818793	0.00141502657664129	0.00129373916493449	0.00196958336597321	0.00174747921102318	0.000953964212313153
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0298927404782637	0.0158068872866034	0.025809579324634	0.0343590117851939	0.0293596586669097	0.0515492079363566	0.020772877460135	0.031429236780142	0.0294989872312806	0.0216125015064476	0.0111108772963532
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.102810088736995	0.0930191011797998	0.0477379104167508	0.0343212629258386	0.0284197394429982	0.0256109597796086	0.0640928027582244	0.0509474483151204	0.0505265278259605	0.0710239826457237	0.0799436038803897
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0159756791173613	0.0757187060076176	0.0319936053188972	0.0277680609417585	0.0545437973875942	0.0381741947288532	0.0333141789972705	0.0260904064928456	0.0571179176132231	0.0286024183505403	0.0163717093495507
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0869652752960836	0.0694874195185045	0.133425482919622	0.144074813206061	0.0779335448626294	0.070988075879362	0.0744720586122684	0.0937012152523223	0.0271712977987668	0.0486281283895071	0.312486409517196
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0677531873342158	0.0448052365673615	0.0423820764245191	0.0307074387902246	0.0320483972953112	0.0305460561750555	0.0330412297083752	0.0281086395901434	0.0400183529359102	0.0362150002008597	0.0120788703941415
