#taxonomy	MCT.f.0306	MCT.f.0305	MCT.f.0304	MCT.f.0303	MCT.f.0302	MCT.f.0301	MCT.f.0300	MCT.f.0299	MCT.f.0298	MCT.f.0297	MCT.f.0296	MCT.f.0295	MCT.f.0294	MCT.f.0293	MCT.f.0292	MCT.f.0291	MCT.f.0290
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.499201793417343	0.475845831880014	0.597179065375008	0.584747895775442	0.532652895956131	0.406842859362323	0.565267947864476	0.430306120521972	0.454080090547206	0.609155437054118	0.481657785086364	0.524882854526217	0.44839422259983	0.591165841512213	0.522429145066367	0.600239382846559	0.488752134401394
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.00363438741890561	0.0048046738751308	0.00290420195373586	0.00524545930490113	0.00413584067469155	0.00517875330145523	0.00348402298447847	0.00528770796744283	0.00383925298554975	0.00468851336744253	0.00885273062228762	0.00425606326003776	0.00689889549702634	0.00531909740052125	0.00476207479736025	0.0053992189479386	0.00593621434546934
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.00139261573995449	0.00121642832228811	0.000690509555433701	0.000901091377713342	0.0018625744017492	0.0011220632153153	0.000856224378963596	0.00137858100579759	0.00167846738564235	0.00140520285364272	0.00328886361107333	0.00302903666557005	0.00278674596431606	0.00216058054702412	0.0021262160819843	0.00196573505386114	0.00351818108891716
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000169831187799327	0.000231077781653296	0.000274172911716322	0.000186259111594378	0.000439613833953227	0.000155362599043657	0.00021022388844119	0.000283270069684437	0.000225081833323687	0.000936801902428479	9.89131913104761e-05	0.000275636408902167	0.000203908241291419	9.68870200459244e-05	0.000236967593870005	6.98928019150628e-05	0.000653212775466703
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00329472504330695	0.00450819672131148	0.00381811165945693	0.00529076557528895	0.00455520913471272	0.00400490255312538	0.00379497915279773	0.00430570505920344	0.00270098199988424	0.00425614325862939	0.00255937882515857	0.00280378540668226	0.00451996601529312	0.00516407816844777	0.004083633329979	0.00495365233573007	0.00418285373763766
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.174586461057709	0.240940006975933	0.10846077296452	0.070083766259917	0.226623823599165	0.0619896770184191	0.102819189937283	0.146129586614545	0.230059357294902	0.130499207321467	0.233731871066655	0.271599669236309	0.20965165675446	0.206311220485792	0.183046104804599	0.181135932763125	0.245837201040556
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.000713290988757175	0.000776072549703523	0.000609273137147383	0.00101687406870444	0.000818491546110285	0.000794075506223135	0.000838705721593497	0.00081204086642872	0.000842449147582943	0.000896267204727247	0.00200299212403714	0.000823945394352714	0.00064570943075616	0.00106575722050517	0.000831009644256457	0.000969762626571496	0.00100846884633456
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.000305696138038789	0.000257237530519707	0.000253863807144743	0.000417824493576578	0.000196669346768549	0.000586925374164926	0.000343803650888196	0.000188846713122958	0.000398716390459103	0.000184658067305614	0.0129699922105862	0.000213395929472645	0.000237892948173322	0.000135641828064294	0.000152568176875209	0.000113575803111977	0.000194817845314631
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.00349852246866615	0.00141698639693059	0.00339162046345377	0.00290463533486368	0.00190595734588932	0.00188161369952873	0.00342051785151186	0.00203954450172795	0.00286175473797259	0.00371568062261296	0.00394416350350524	0.00374628409518644	0.00292268479184367	0.00303256372743744	0.00324937755429966	0.00329369829024733	0.00279620907392764
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.00185115994701267	0.00276421346355075	0.00208168321858689	0.00322177922757843	0.00261165323723529	0.00284831431580038	0.00208253039487054	0.00253054595584764	0.00171705284278355	0.00261673992937955	0.00210190531534762	0.0017664440828569	0.00309260832625319	0.00315851685349714	0.00221061549897909	0.00298791728186893	0.00242949312980598
