#taxonomy	MCT.f.0374	MCT.f.0372	MCT.f.0371	MCT.f.0370	MCT.f.0369	MCT.f.0368	MCT.f.0366	MCT.f.0365	MCT.f.0364	MCT.f.0363	MCT.f.0362	MCT.f.0361	MCT.f.0360	MCT.f.0359	MCT.f.0358
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.107844951136467	0.0851340758160654	0.0840980635314318	0.136921417253818	0.0958477312638079	0.0844412278355544	0.124283616304893	0.133541845710234	0.144412791427116	0.0300108566406452	0.0912943677630037	0.0547926853774533	0.080366232311921	0.0890439772616955	0.0853246555712993
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.170421753453861	0.140642794811495	0.124735285700658	0.18566901527155	0.203130184266535	0.154108780817823	0.142358872412064	0.134636066066489	0.182516956094969	0.130602802047252	0.205839961565152	0.187688391720812	0.282150310495775	0.154389636165554	0.259148074321349
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.0712559819512828	0.106669033145494	0.0914051321186683	0.055877692748542	0.0428741371357357	0.0699114208845325	0.067913174296153	0.0585807069696671	0.0386392318649121	0.0913379517137983	0.0746183786343096	0.0982651215754572	0.0658467372493128	0.0620341506035143	0.0767549652969572
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	6.90357909154422e-05	0.000221857390069663	5.7235524182009e-05	0.000101136095472474	0.000105202677003504	0.000944004782957567	7.16383695107099e-05	9.39244940991937e-05	5.16616604057654e-05	7.75474331799617e-05	2.08885041278005e-05	0.00011163953825887	0.000108164511859921	8.62933759047321e-05	6.0039866471337e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0022478053522068	0.000828267589593409	0.00112563197557951	0.00161817752755959	0.00209596102645443	0.00155760789187999	0.00124471667024859	0.00106134678332089	0.00145759684716267	0.0016284960967792	0.00152021891152326	0.00167459307388305	0.00198513692354678	0.00121889393465434	0.0015850524748433
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0557947262178604	0.0859031814349736	0.0677096251073166	0.0717729157536325	0.0837817934628675	0.0444862253968753	0.0437710437710438	0.0572422829287536	0.0754149538366163	0.0421534922194075	0.0571323797344375	0.0404581686650144	0.0544576504122977	0.0575576817284563	0.0900718076802997
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.129328889269353	0.151173625593469	0.138033005818945	0.108653878569261	0.102459314887797	0.128541984612722	0.14667060677699	0.0967797987198091	0.107415662339388	0.201610401695704	0.132428474280449	0.21611181816152	0.140372085920798	0.107187159545665	0.0941425106270564
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0369369095713982	0.0436023723950245	0.0960984451015931	0.0261942487273708	0.00580233226242403	0.0250318601614248	0.021876567089333	0.0428812277809869	0.0316095559311276	0.0416623584759344	0.0290907234153168	0.0242481077098265	0.0191260307441718	0.0949011401512291	0.0181160290432847
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.0686712819394087	0.108739702119478	0.0835257082896118	0.0545966355392239	0.0416359825525406	0.0880835129564656	0.0826393366286983	0.0605484251210452	0.0404621504535156	0.216312102569405	0.0856544716484975	0.131288096992431	0.0755242797516034	0.0732954361590818	0.0904920867455991
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.000430783335312359	0.000857848574936031	0.000324334637031384	0.000438256413714055	0.000550290925864483	0.000464135684954137	0.000295508274231678	0.000371001751691815	0.000483405536653948	0.000284340588326526	0.000422411972362188	0.000692165137204992	0.000769876819708847	0.000334386831630837	0.000616409295772393
