#taxonomy	MCT.f.0595	MCT.f.0593	MCT.f.0592	MCT.f.0590	MCT.f.0587	MCT.f.0586	MCT.f.0585	MCT.f.0583	MCT.f.0582	MCT.f.0581	MCT.f.0580	MCT.f.0579
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.00951222365188911	0.0162877583465819	0.0122911402365984	0.0204794868499171	0.00816337455168353	0.0075700906615601	0.00584032739127419	0.0231641143132763	0.00946324090562198	0.0236754014716942	0.00489835430784124	0.00499020441355857
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.00743478769446719	0.0109697933227345	0.00932273041242972	0.013330640274692	0.00988638188533804	0.0103826935160528	0.0117222723174031	0.0207524418184011	0.0118646654795218	0.0280034801586716	0.00829622458857696	0.00861272317303072
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.000173119663118493	7.5516693163752e-05	7.65054078393999e-05	8.26279355869338e-05	5.01846796210053e-05	6.41170863486174e-05	8.32350697093709e-05	4.82334498975039e-05	4.070211142203e-05	0.00534558270538097	0.000125847047434656	7.39289542749418e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.412291496081413	0.574447535771065	0.648064194594784	0.653868517532424	0.759153685562871	0.750853825866542	0.793632517167233	0.618003135174243	0.853106079877894	0.767529824664887	0.769148112294288	0.685136583743023
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00047724880102936	0.000735294117647059	0.00090494968130033	0.000875244058439373	0.000876559070713559	0.000709562422258033	0.000554900464729139	0.000602918123718799	0.00061053167133045	0.00435757155707608	0.000261374636979671	0.000369644771374709
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.00366826529418645	0.0098966613672496	0.0061226184959474	0.0116352374482045	0.00685188159092126	0.00484725172795548	0.00296871748630089	0.00536597130109731	0.0032561689137624	0.00865615737395485	0.00262342691190707	0.00280930026244779
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.00264358404491753	0.00225755166931638	0.000926808369254444	0.00406101001940226	0.000963545848723302	0.0028553475787251	0.00461954636887008	0.00674062462317617	0.00296107860595268	0.00713727456387418	0.0145982575024201	0.00661664140760729
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0513182828400983	0.0381677265500795	0.018595185842565	0.0489065569857329	0.0479430972646004	0.037965864063228	0.0124713879447874	0.0859881828047751	0.00349020605443907	0.0109492280241252	0.0224491771539206	0.0118655971611282
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.000135688384606387	0.000222575516693164	0.000131152127724685	0.000419260265755923	0.000143862748246882	0.000277840707510675	0.000305195255601027	0.000373809236705655	0.000620707199185958	0.00227832421512099	0.000522749273959342	0.00040660924851218
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.00156743478769447	0.00226152623211447	0.00149513425606141	0.00312456008275035	0.00204753492853702	0.00170978896929646	0.00120690851078588	0.00277342336910648	0.00109895700839481	0.00329582823352455	0.000600193610842207	0.00195911728828596
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.0059281787343549	0.00840222575516693	0.00675214870902589	0.0108365007375308	0.00823028745784487	0.00854894484648232	0.0066726780883679	0.00621005667430363	0.00713304502671076	0.014392520608143	0.00525653436592449	0.00528592023065834
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.000439817522517253	0.000600158982511924	0.000327880319311714	0.000731410244639895	0.000301108077726032	0.000329134376589569	0.000374557813692169	0.00102496081032196	0.000468074281353345	0.00145989706988336	0.000348499515972895	0.000110893431412413
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.00011229383553632	0.000194753577106518	0.000207657535564085	0.000195858810280139	0.000220812590332423	0.000329134376589569	0.000527155441492682	0.000506451223923791	0.000254388196387688	0.00539719522805362	0.000271055179090029	0.000221786862824825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.000683120832845947	0.000476947535771065	0.00018361297881456	0.000869123470618118	0.000311145013650233	0.000790777398299615	0.000776860650620795	0.00106113589774509	0.00028491477995421	0.00126082019671744	0.000435624394966118	0.000443573725649651
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.00304129137910867	0.0022933227344992	0.00170060592283009	0.00587882460231481	0.0105889674000321	0.00858314062586825	0.00581258236803773	0.0265283974436272	0.00223861612821165	0.00307463170778464	0.000445304937076476	0.00158947251691125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	6.55047373961867e-05	5.16693163751987e-05	3.49739007265828e-05	6.42661721231707e-05	4.01477436968042e-05	5.12936690788939e-05	1.38725116182285e-05	4.82334498975039e-05	9.15797506995675e-05	0.000552991314349756	2.90416263310745e-05	3.69644771374709e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.000102936015908293	0.000238473767885533	0.000102735833384337	0.000180557340727003	0.000127134521706547	0.000230821510855023	9.71075813275994e-05	0.000361750874231279	0.000183159501399135	0.000781561057614322	8.71248789932236e-05	7.39289542749418e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	0.035077786875658	0.0282949125596184	0.0196225441764084	0.0348873505811498	0.0148044804881966	0.0255485216737124	0.037705486578345	0.0521283009767274	0.0260697023658102	0.012180555350744	0.0478218780251694	0.0215502901711455
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_intestinihominis	2.807345888408e-05	2.78219395866455e-05	1.31152127724685e-05	9.18088173188153e-06	2.00738718484021e-05	0	0	0	1.01755278555075e-05	0.00183593116364119	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	0.00327991577962335	0.00406995230524642	0.00244380131326997	0.00535857463750819	0.00208433702692575	0.00477031122433714	0.00534091697301797	0.004618352827686	0.00378529636224879	0.00647368498665448	0.00363020329138432	0.00569252947917052
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	8.422037665224e-05	0.000123211446740858	6.12043262715199e-05	0.000208099985922648	6.69129061613404e-05	6.41170863486174e-05	0.000110980092945828	0.000132641987218136	0.000132281862121598	0.000501378791677112	5.80832526621491e-05	7.39289542749418e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__[Eubacterium]_siraeum	0.0001403672944204	0.000186804451510334	4.59032447036399e-05	0.000544732316091637	0.000143862748246882	0.000106861810581029	8.32350697093709e-05	0.000277342336910648	0.000101755278555075	0.00179906507601787	0.000367860600193611	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_excrementihominis	0.000781377938940227	0.000957869634340223	0.000826258404665518	0.00040089850229216	0.000458353407205182	0.000448819604440322	0.000194215162655199	0.000422042686603159	0.000172983973543628	0.000589857401973073	6.77637947725073e-05	7.39289542749418e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	0.163925605333957	0.0682670906200318	0.0853800351487702	0.0179333223162753	0.00948155880306193	0.0118231907226851	0.0193937712422834	0.0210297841553117	0.0170948867972526	0.012748293100143	0.0374346563407551	0.101467489742358
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp._KLE_1745	0.000313486957538893	0.000286168521462639	8.30630142256341e-05	0.000762013183746167	0.000177319201327552	0.000542857997751628	0.000235832697509884	0.000699385023513807	0.000101755278555075	0.00156312211522864	0.000280735721200387	0.000110893431412413
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus	0.00043513861270324	0.000496820349761526	0.000502749822944628	0.000841580825422474	0.00057210534767946	0.000713836894681274	0.000596517999583825	0.000687326661039431	0.00101755278555075	0.000965891495730907	0.000793804453049371	0.000591431634199534
