	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0070	82.0	3.344483101	17.0	0.870557857614	17.0
MCT.f.0071	64.0	2.61204828522	13.0	0.739851578263	12.0
MCT.f.0072	75.0	3.26410376798	15.0	0.849599200013	15.0
MCT.f.0073	44.0	2.3705262745	8.0	0.752894775209	8.0
MCT.f.0074	74.0	3.26284783775	15.0	0.867529154519	15.0
MCT.f.0260	69.0	3.41732074676	14.0	0.893739467173	14.0
MCT.f.0449	76.0	3.33154821127	16.3333333333	0.873784722222	16.0
MCT.f.0512	98.0	3.69906609172	19.0	0.908717262944	19.0
MCT.f.0562	88.0	3.50046849617	19.0	0.881129481893	19.0
MCT.f.0563	77.0	3.35802892888	15.0	0.878222740788	15.0
MCT.f.0564	106.0	3.84784379921	22.0	0.910657236654	22.0
MCT.f.0566	81.0	3.35017290012	15.0	0.883378339558	15.0
MCT.f.0598	84.0	3.54223212341	18.0	0.891652200612	18.0
MCT.f.0120	104.0	3.88859897228	24.5	0.911151050056	23.0
MCT.f.0121	108.0	3.88358278391	23.5	0.910425275482	23.0
MCT.f.0122	111.0	4.01657940829	23.0	0.917747746811	23.0
MCT.f.0123	102.0	3.84671242567	22.5	0.90867716371	22.0
MCT.f.0124	139.0	4.37375216462	33.25	0.934429065744	33.0
MCT.f.0125	106.0	4.12016165214	23.0	0.935605389639	23.0
MCT.f.0392	49.0	1.71471149298	9.0	0.507580889339	9.0
MCT.f.0393	74.0	3.24346502532	15.0	0.85911273351	15.0
MCT.f.0394	72.0	3.25086239138	15.0	0.853501365259	15.0
MCT.f.0396	56.0	2.8518183962	12.0	0.831240121321	11.0
MCT.f.0398	81.0	3.60096064808	17.0	0.899467400758	17.0
MCT.f.0477	105.0	3.80344856685	21.5	0.914543182765	21.0
MCT.f.0478	77.0	3.65738355371	15.0	0.912674250921	15.0
MCT.f.0479	74.0	3.35053025369	15.0	0.873257291169	15.0
MCT.f.0480	71.0	3.02412906341	13.0	0.82448442888	13.0
MCT.f.0481	67.0	3.34387192604	14.0	0.87946938285	14.0
MCT.f.0579	33.0	2.23227969891	6.0	0.75637755102	6.0
MCT.f.0580	61.0	2.90091953918	11.0	0.845247813411	11.0
MCT.f.0581	66.0	3.19605467747	13.0	0.85445069323	13.0
MCT.f.0582	57.0	3.19184535674	10.0	0.882305525978	10.0
