	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	7.44895645602	7.13479522375	6.87833832381	6.73290102884	7.9985504315	7.61473432301	6.9680494263	5.7380952381	11.7475728155	11.6744466729	5.85462991962	7.06263501602	7.79723797622	8.13724775506	6.96006229963	7.44113567757	6.33611001691	7.88780509936	6.47615693241	6.24847484986	6.84458551158	6.5164832193	7.53504424378	6.57967170453	8.15984565596	7.23806541094	8.18964175772	7.02568654646	7.47460124827	7.25193471226	7.66535949971	7.54766107679	7.84542667348
MCTs03	7.44895645602	0.0	6.27125060224	9.32858581902	5.75609974082	7.97962408516	8.47613790455	6.978933043	7.37216323655	11.9371257485	11.8639996059	7.35708153585	7.6373340276	7.84866899864	9.31143855633	6.84935982835	6.77432529898	6.89978991897	7.72519447087	6.95070741797	6.33272330644	6.61142330723	5.9511784231	7.39749172983	6.01444533613	6.56606786427	7.45281326747	8.82808946567	7.23303678358	6.78517964072	6.99349127831	7.97530206491	6.63422167523	8.35140245824
MCTs04	7.13479522375	6.27125060224	0.0	8.86582876786	6.45817464402	6.27674808429	7.63916799115	6.64743991641	6.94067420071	11.9494252874	11.8616739162	7.48174514893	6.90555898521	8.11567087743	8.67457534032	6.31514172656	6.66910074375	7.0280086687	6.72523364486	6.67996664129	6.82324705618	6.54090185676	6.82676656101	6.09397958363	6.25203223131	6.76816976127	7.30889347953	7.08507349113	6.29931034483	6.98705870279	6.82908545727	7.10542806888	7.04111580573	7.56878402904
MCTs05	6.87833832381	9.32858581902	8.86582876786	0.0	8.25073231971	8.06175363448	6.99893244433	7.61291418862	6.4829445797	11.6448598131	11.5679292886	6.97491039427	7.6325102979	7.89661022177	9.0611038457	8.51536839648	7.90779863347	7.72166335809	8.32710280374	8.04662087129	7.68941800151	7.3545938174	8.34372044186	7.85565213603	7.70176959887	8.68257848071	8.29445712563	8.6780639769	8.28815309301	8.21072541166	8.4939049167	8.01317058569	8.74409269452	8.56595343499
MCTs06	6.73290102884	5.75609974082	6.45817464402	8.25073231971	0.0	8.03233830846	8.18134029253	6.32790592492	7.06917095196	11.8768656716	11.803739529	7.31431551918	7.81516013284	8.21641791045	9.03390046355	6.63667027858	7.14679752498	7.5767463399	8.02507323197	6.68055228589	6.38828777871	6.99045924225	5.66170540057	6.97340221967	6.15610093861	6.61974741676	7.24499621707	8.20274065214	7.52074626866	7.51139392324	7.76427644387	7.14184415998	7.2531119108	8.02389368945
MCTs07	7.9985504315	7.97962408516	6.27674808429	8.06175363448	8.03233830846	0.0	7.09917752171	7.38497474747	6.96142623716	11.8993055556	11.8115541844	7.93077956989	7.61008098892	7.5883869637	9.05364761092	7.87567492844	7.485410831	7.97663915407	7.09274402908	7.49093059937	7.76289561261	7.4722542735	8.57699822037	7.5887480575	6.96574312715	7.4672008547	7.706781234	6.98574816105	7.89468253968	7.29464285714	7.64477657005	8.31406929616	7.75577788757	7.7202119883
MCTs08	7.61473432301	8.47613790455	7.63916799115	6.99893244433	8.18134029253	7.09917752171	0.0	7.62355013056	7.83689507867	11.8436873747	11.7705612322	7.43857607688	8.32526433942	8.03748751629	7.97965897666	9.00324302	7.75536507188	7.75310047302	7.74168898545	8.38967524955	8.100043608	7.81648219516	8.81742314713	8.42375660412	7.51594942462	8.25382046144	8.31426909118	7.90572084936	8.17294016605	8.46235327798	7.27791815515	8.52979981315	9.04111780874	8.45797735823
MCTs09	6.9680494263	6.978933043	6.64743991641	7.61291418862	6.32790592492	7.38497474747	7.62355013056	0.0	6.91158645276	11.8303030303	11.7571768877	7.06353861193	7.47193675889	6.99201920192	8.57300651567	6.74402100632	6.71316526611	7.19879945035	6.52353440952	6.59168339547	6.14152774691	6.01426573427	7.14271967587	7.33053613054	5.9257107154	7.56223776224	6.18335428013	8.2902122268	6.7367965368	6.41455627706	7.10421607378	6.94950932816	7.50830039526	8.42432216906
MCTs10	5.7380952381	7.37216323655	6.94067420071	6.4829445797	7.06917095196	6.96142623716	7.83689507867	6.91158645276	0.0	11.8151260504	11.7419999078	6.17360922864	6.6686152722	6.89602573703	8.08290551716	7.02805712449	7.46778711485	6.73244954306	7.6205659834	7.01693926782	6.89061932842	6.46941607412	7.07556783159	7.235705471	6.69578965607	7.37444516268	7.44682389085	7.76074332172	6.81725490196	7.1287640056	7.25459749117	7.64057936342	6.94571583574	7.42503317116
MCTs11	11.7475728155	11.9371257485	11.9494252874	11.6448598131	11.8768656716	11.8993055556	11.8436873747	11.8303030303	11.8151260504	0.0	0.623316645026	11.6200716846	11.7595907928	11.7359735974	11.4197952218	11.3676814988	11.8599439776	11.5656324582	11.7757009346	11.8170347003	11.8092909535	11.7969230769	11.7548746518	11.7715617716	11.8350515464	12.0	11.66359447	11.6585365854	11.8228571429	11.7678571429	11.6666666667	11.7651245552	11.8656126482	11.9692982456
