	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0065	42.0	2.9151959938	8.0	0.861678004535	8.0
MCT.f.0070	31.0	2.20510990007	6.0	0.719723183391	6.0
MCT.f.0071	22.0	1.79248125036	7.0	0.666666666667	4.0
MCT.f.0072	22.0	1.83659166811	4.0	0.691358024691	4.0
MCT.f.0073	18.0	1.35164411515	3.0	0.567901234568	3.0
MCT.f.0074	40.0	2.69951385032	7.25	0.836734693878	7.0
MCT.f.0095	39.0	2.49583893875	11.0	0.774305555556	8.0
MCT.f.0099	30.0	2.18954151734	5.0	0.76124567474	5.0
MCT.f.0100	42.0	2.92119213163	8.0	0.864197530864	8.0
MCT.f.0260	19.0	1.89106111207	4.0	0.716049382716	4.0
MCT.f.0269	28.0	2.22439444541	5.0	0.771604938272	5.0
MCT.f.0449	28.0	2.15563906223	6.5	0.75	5.0
MCT.f.0512	56.0	2.91195839686	11.6	0.802571166208	11.0
MCT.f.0562	20.0	1.91829583405	4.33333333333	0.722222222222	4.0
MCT.f.0563	44.0	2.85845859334	9.0	0.8515625	8.0
MCT.f.0564	41.0	2.39953722509	13.0	0.775623268698	7.0
MCT.f.0566	18.0	1.24067053168	3.0	0.512396694215	3.0
MCT.f.0598	27.0	2.15563906223	6.5	0.75	5.0
MCT.f.0621	37.0	2.33971468341	9.5	0.739197530864	8.0
MCT.f.0622	25.0	1.21841083444	6.33333333333	0.391581632653	6.0
MCT.f.0624	25.0	1.6629403303	6.0	0.611570247934	5.0
MCT.f.0625	48.0	2.84259084513	10.5	0.832936979786	10.0
MCT.f.0086	25.0	2.09046857073	5.0	0.745	5.0
MCT.f.0120	60.0	3.25007787502	19.5	0.87514863258	12.0
MCT.f.0121	59.0	3.17966946192	14.0	0.870392390012	11.0
MCT.f.0122	64.0	3.34996542357	12.75	0.887052341598	12.0
MCT.f.0123	59.0	3.14053226266	21.0	0.864795918367	11.0
MCT.f.0124	58.0	3.0981752905	17.0	0.861495844875	11.0
MCT.f.0125	54.0	3.1367345482	21.0	0.865636147444	11.0
MCT.f.0128	64.0	3.36933126111	17.0	0.892857142857	12.0
MCT.f.0129	55.0	3.19968779473	10.3333333333	0.884615384615	10.0
MCT.f.0130	58.0	3.43383022477	16.0	0.893351800554	13.0
MCT.f.0131	59.0	3.20777806886	17.0	0.87825182102	11.0
MCT.f.0132	60.0	3.19615478093	16.0	0.87074829932	11.0
MCT.f.0133	63.0	3.18501508254	14.5	0.8528	13.0
MCT.f.0134	52.0	3.16520329657	12.5	0.863905325444	11.0
MCT.f.0135	49.0	2.99285605016	10.5	0.863636363636	9.0
MCT.f.0136	45.0	2.76587635847	9.0	0.837098692033	8.0
MCT.f.0392	11.0	0.787126586201	2.0	0.359861591696	2.0
MCT.f.0393	30.0	2.16070475289	6.33333333333	0.712802768166	6.0
MCT.f.0394	23.0	1.83659166811	4.0	0.691358024691	4.0
MCT.f.0396	23.0	1.4885252949	5.0	0.556213017751	4.0
MCT.f.0398	32.0	2.44643934467	7.0	0.8	6.0
MCT.f.0399	33.0	2.31582433353	7.5	0.769230769231	6.0
MCT.f.0400	20.0	1.68581570915	4.0	0.628099173554	4.0
MCT.f.0401	18.0	1.5	3.5	0.625	3.0
MCT.f.0402	23.0	1.72192809489	5.0	0.66	4.0
MCT.f.0403	21.0	1.91829583405	4.33333333333	0.722222222222	4.0
MCT.f.0404	12.0	0.591672778582	2.0	0.244897959184	2.0
MCT.f.0405	12.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0406	17.0	1.58496250072	6.0	0.666666666667	3.0
MCT.f.0407	28.0	2.17095059445	5.5	0.76	5.0
MCT.f.0408	28.0	2.15563906223	6.5	0.75	5.0
MCT.f.0477	45.0	2.73291456398	9.5	0.817777777778	8.0
MCT.f.0478	45.0	2.92745122496	10.5	0.845679012346	9.0
MCT.f.0479	41.0	2.82614444936	10.5	0.835555555556	9.0
MCT.f.0480	33.0	2.18003653258	7.5	0.734375	6.0
MCT.f.0481	32.0	1.94913786527	7.5	0.641975308642	6.0
MCT.f.0485	30.0	2.35274578087	6.33333333333	0.775510204082	6.0
MCT.f.0486	40.0	2.86595732095	8.0	0.85	8.0
MCT.f.0487	41.0	2.74716719731	8.75	0.827160493827	8.0
MCT.f.0488	28.0	2.05503653258	5.0	0.7265625	5.0
MCT.f.0489	6.0	-0.0	1.0	0.0	1.0
MCT.f.0490	23.0	1.87101912088	4.0	0.709141274238	4.0
MCT.f.0491	29.0	2.12112747334	5.0	0.75	5.0
MCT.f.0492	39.0	2.6100053708	7.0	0.821428571429	7.0
MCT.f.0493	29.0	2.32995747484	6.0	0.771604938272	6.0
MCT.f.0523	63.0	3.0339099535	18.0	0.832703213611	13.0
MCT.f.0569	22.0	1.42560519902	4.0	0.515555555556	4.0
MCT.f.0571	34.0	2.12581458369	9.0	0.694444444444	6.0
MCT.f.0572	28.0	2.00488616409	8.0	0.710743801653	5.0
MCT.f.0573	24.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0574	11.0	1.0	3.0	0.5	2.0
MCT.f.0575	28.0	2.11807820935	5.5	0.743801652893	5.0
MCT.f.0576	29.0	2.02426006669	5.0	0.710775047259	5.0
MCT.f.0579	11.0	0.811278124459	2.0	0.375	2.0
MCT.f.0580	18.0	1.58496250072	3.0	0.666666666667	3.0
MCT.f.0581	29.0	2.3804304878	6.0	0.782006920415	6.0
MCT.f.0582	23.0	1.55109817101	5.0	0.583333333333	4.0
MCT.f.0583	18.0	1.44881563573	3.0	0.612244897959	3.0
MCT.f.0584	25.0	1.88109476011	5.33333333333	0.650887573964	5.0
MCT.f.0585	28.0	2.19968779473	5.0	0.769230769231	5.0
MCT.f.0586	29.0	2.39046857073	6.0	0.79	6.0
MCT.f.0587	30.0	2.28735181444	7.0	0.7744	6.0
MCT.f.0588	31.0	2.41308843643	7.5	0.793388429752	6.0
MCT.f.0589	35.0	2.27095059445	6.5	0.765	6.0
MCT.f.0590	11.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0591	29.0	1.53651482556	8.0	0.592152199762	5.0
MCT.f.0592	17.0	1.5	3.5	0.625	3.0
MCT.f.0593	32.0	2.29207175246	7.0	0.764542936288	6.0
MCT.f.0594	23.0	1.74899922306	4.0	0.671875	4.0
MCT.f.0595	23.0	1.8512268159	4.0	0.698961937716	4.0
MCT.f.0127	52.0	3.29301278874	12.5	0.889417360285	11.0
MCT.f.0154	11.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0155	27.0	2.13909765557	5.0	0.75	5.0
MCT.f.0156	28.0	1.97664809167	5.0	0.69387755102	5.0
MCT.f.0158	31.0	2.53049305676	6.0	0.820987654321	6.0
MCT.f.0160	11.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0164	23.0	1.84237099318	4.5	0.69387755102	4.0
MCT.f.0165	35.0	2.37095059445	12.0	0.78	6.0
MCT.f.0166	34.0	2.44661666763	6.0	0.796296296296	6.0
MCT.f.0167	34.0	2.07781953111	7.5	0.6875	6.0
MCT.f.0168	28.0	1.92321967234	5.0	0.675	5.0
MCT.f.0169	33.0	2.39624062518	9.0	0.791666666667	6.0
MCT.f.0170	23.0	1.56280663169	5.0	0.613333333333	4.0
MCT.f.0240	30.0	2.57095059445	6.0	0.83	6.0
MCT.f.0241	33.0	2.41379956461	6.5	0.795918367347	6.0
MCT.f.0242	39.0	2.71929452567	23.0	0.816568047337	8.0
MCT.f.0324	33.0	2.33379987012	6.0	0.775047258979	6.0
MCT.f.0332	43.0	2.77440191929	9.0	0.833333333333	8.0
MCT.f.0335	40.0	2.6644977792	7.2	0.826530612245	7.0
MCT.f.0358	48.0	2.95430295147	12.0	0.8576	9.0
MCT.f.0360	45.0	2.55887184845	10.0	0.785	8.0
MCT.f.0361	28.0	2.23127025461	5.0	0.776859504132	5.0
MCT.f.0363	21.0	1.84237099318	4.0	0.69387755102	4.0
MCT.f.0365	34.0	2.22219157551	9.0	0.727272727273	6.0
MCT.f.0366	34.0	2.39624062518	9.0	0.791666666667	6.0
MCT.f.0417	18.0	1.72957395851	4.0	0.652777777778	4.0
MCT.f.0443	34.0	2.35538854221	7.5	0.777777777778	6.0
MCT.f.0444	47.0	2.92779897029	12.0	0.852607709751	9.0
MCT.f.0445	28.0	1.77355726228	8.0	0.631111111111	5.0
MCT.f.0446	47.0	2.98418371978	9.75	0.86	9.0
MCT.f.0447	42.0	2.84022392894	8.6	0.844444444444	8.0
MCT.f.0448	37.0	2.78063906223	11.0	0.8359375	8.0
MCT.f.0450	37.0	2.79334519419	8.75	0.837370242215	8.0
MCT.f.0451	37.0	2.48855486219	8.5	0.79012345679	7.0
MCT.f.0452	23.0	1.7717822216	4.0	0.6796875	4.0
MCT.f.0453	32.0	2.31582433353	7.5	0.769230769231	6.0
MCT.f.0454	41.0	2.52439747035	8.0	0.796875	7.0
MCT.f.0456	16.0	2.25	5.25	0.78125	5.0
MCT.f.0457	31.0	2.35560790215	6.0	0.780045351474	6.0
MCT.f.0458	43.0	2.93604344964	9.25	0.852071005917	9.0
MCT.f.0459	37.0	2.91397707318	10.5	0.859504132231	8.0
MCT.f.0472	23.0	1.66918033687	4.0	0.627218934911	4.0
MCT.f.0473	17.0	1.41955629857	3.0	0.591715976331	3.0
MCT.f.0476	32.0	1.77170899622	7.5	0.632674297607	6.0
MCT.f.0616	23.0	1.55460976127	4.0	0.577777777778	4.0
MCT.f.0617	37.0	2.20129262913	10.0	0.723765432099	7.0
MCT.f.0069	22.0	1.50161447181	4.0	0.5546875	4.0
MCT.f.0239	28.0	2.12127635783	5.0	0.747922437673	5.0
MCT.f.0245	29.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0248	22.0	1.73814933319	4.0	0.662721893491	4.0
MCT.f.0250	11.0	0.721928094887	2.0	0.32	2.0
MCT.f.0251	18.0	1.5	3.5	0.625	3.0
MCT.f.0252	24.0	1.91829583405	4.33333333333	0.722222222222	4.0
MCT.f.0254	16.0	1.45914791703	3.0	0.611111111111	3.0
MCT.f.0460	54.0	2.97095059445	17.5	0.84	10.0
MCT.f.0461	42.0	2.46132014021	13.0	0.746913580247	8.0
MCT.f.0463	28.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0465	17.0	1.48547529723	3.0	0.62	3.0
MCT.f.0467	23.0	1.3244602933	5.0	0.484375	4.0
MCT.f.0468	22.0	1.08923007884	7.0	0.367346938776	4.0
MCT.f.0469	23.0	1.3244602933	5.0	0.484375	4.0
MCT.f.0470	27.0	1.80790457512	6.0	0.657844990548	5.0
MCT.f.0471	23.0	1.79248125036	7.0	0.666666666667	4.0
MCT.f.0533	12.0	1.0	3.0	0.5	2.0
MCT.f.0534	44.0	2.71520880617	9.0	0.825396825397	8.0
MCT.f.0542	53.0	2.94908229535	11.2	0.836805555556	10.0
MCT.f.0543	36.0	2.58858263957	11.0	0.804897959184	8.0
MCT.f.0001	28.0	2.23592635063	5.0	0.775510204082	5.0
MCT.f.0002	27.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0003	32.0	2.14643934467	6.33333333333	0.725	6.0
MCT.f.0004	37.0	2.89542387028	8.25	0.858131487889	8.0
MCT.f.0005	21.0	1.92192809489	5.5	0.72	4.0
MCT.f.0007	43.0	2.86595732095	8.0	0.85	8.0
MCT.f.0008	29.0	2.50325833478	6.75	0.814814814815	6.0
MCT.f.0009	22.0	1.83392721764	4.0	0.686390532544	4.0
MCT.f.0010	28.0	2.23399790784	7.0	0.742382271468	6.0
MCT.f.0011	49.0	2.79120046481	10.0	0.82304526749	9.0
MCT.f.0012	27.0	1.85656476213	5.5	0.648888888889	5.0
MCT.f.0013	27.0	2.02257976184	6.0	0.72	5.0
MCT.f.0014	44.0	2.81837582785	19.0	0.835538752363	9.0
MCT.f.0015	32.0	2.43225744855	7.25	0.775510204082	7.0
MCT.f.0016	44.0	2.87503382732	10.0	0.835538752363	9.0
MCT.f.0017	39.0	2.21534727558	8.0	0.722222222222	7.0
MCT.f.0205	12.0	0.811278124459	2.0	0.375	2.0
MCT.f.0207	17.0	1.25162916739	4.0	0.5	3.0
MCT.f.0208	26.0	2.25690898956	5.0	0.782006920415	5.0
MCT.f.0211	22.0	1.78415912785	4.0	0.680555555556	4.0
MCT.f.0214	23.0	1.61718957259	5.0	0.611570247934	4.0
MCT.f.0216	17.0	1.35164411515	3.0	0.567901234568	3.0
MCT.f.0217	24.0	1.68547529723	5.0	0.64	4.0
MCT.f.0219	23.0	1.72957395851	4.0	0.652777777778	4.0
MCT.f.0220	29.0	2.19715972342	5.33333333333	0.765432098765	5.0
MCT.f.0256	36.0	2.53186925698	7.5	0.801652892562	7.0
MCT.f.0257	24.0	2.24928706865	5.0	0.781163434903	5.0
MCT.f.0258	31.0	2.40308804592	6.0	0.793950850662	6.0
MCT.f.0259	36.0	2.36957100386	13.0	0.759259259259	7.0
MCT.f.0261	47.0	2.72478631873	20.0	0.813412655489	10.0
MCT.f.0264	38.0	2.49892956369	13.0	0.791111111111	7.0
MCT.f.0265	23.0	1.92977047844	5.0	0.701352757544	5.0
MCT.f.0266	40.0	2.76595732095	9.5	0.835	8.0
MCT.f.0267	33.0	2.52257165004	7.0	0.803324099723	7.0
MCT.f.0268	32.0	2.19715972342	6.5	0.728395061728	6.0
MCT.f.0270	30.0	2.49954504915	7.0	0.778696051423	7.0
MCT.f.0271	37.0	2.43706583152	8.5	0.775623268698	7.0
MCT.f.0272	33.0	2.48171457299	7.5	0.785123966942	7.0
MCT.f.0614	18.0	1.35203010176	4.5	0.485207100592	4.0
MCT.f.0138	34.0	2.43926814625	6.0	0.803324099723	6.0
MCT.f.0139	44.0	2.88954943086	12.3333333333	0.837370242215	9.0
MCT.f.0140	22.0	1.91829583405	4.33333333333	0.722222222222	4.0
MCT.f.0142	17.0	1.58496250072	6.0	0.666666666667	3.0
MCT.f.0143	18.0	1.5	3.0	0.625	3.0
MCT.f.0146	44.0	2.84643934467	8.33333333333	0.85	8.0
MCT.f.0147	23.0	1.81127812446	5.0	0.6875	4.0
MCT.f.0148	34.0	2.50738010242	6.0	0.816568047337	6.0
MCT.f.0149	23.0	1.66918033687	4.0	0.627218934911	4.0
MCT.f.0150	28.0	2.32192809489	15.0	0.8	5.0
MCT.f.0152	45.0	2.59938959162	11.0	0.798185941043	8.0
MCT.f.0153	24.0	1.81127812446	5.0	0.6875	4.0
MCT.f.0006	32.0	2.41592206384	6.0	0.791111111111	6.0
