	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	0.735135135135	0.710691823899	0.788732394366	0.745664739884	0.697183098592	0.803680981595	0.759493670886	0.715846994536	0.726114649682	0.714285714286	0.860655737705	0.689189189189	0.741379310345	0.707317073171	0.737931034483	0.689440993789	0.732919254658	0.748387096774	0.767741935484	0.721428571429	0.697530864198	0.810606060606	0.814102564103	0.843971631206	0.692307692308	0.791208791209	0.833333333333	0.806201550388	0.735099337748	0.75625
MCTs03	0.735135135135	0.0	0.781914893617	0.759493670886	0.731578947368	0.725609756098	0.796703296703	0.79781420765	0.742718446602	0.697674418605	0.769230769231	0.86013986014	0.761363636364	0.791044776119	0.717391304348	0.817142857143	0.756613756614	0.774193548387	0.821621621622	0.735294117647	0.73125	0.75	0.847133757962	0.798850574713	0.845679012346	0.787234042553	0.742268041237	0.786096256684	0.866242038217	0.785310734463	0.732954545455
MCTs04	0.710691823899	0.781914893617	0.0	0.798561151079	0.788571428571	0.791946308725	0.789808917197	0.767741935484	0.700564971751	0.733766233766	0.773255813953	0.824561403509	0.714285714286	0.790960451977	0.737804878049	0.805369127517	0.72049689441	0.748427672956	0.772727272727	0.78431372549	0.765957446809	0.751515151515	0.8125	0.783783783784	0.838235294118	0.75625	0.735294117647	0.807228915663	0.81746031746	0.71724137931	0.748387096774
MCTs06	0.788732394366	0.759493670886	0.798561151079	0.0	0.790540540541	0.764705882353	0.828358208955	0.793893129771	0.761006289308	0.744186046512	0.828947368421	0.83908045977	0.752	0.760273972603	0.832214765101	0.781512605042	0.79020979021	0.855172413793	0.844444444444	0.756097560976	0.763157894737	0.823129251701	0.773195876289	0.833333333333	0.809523809524	0.805755395683	0.81045751634	0.9	0.778947368421	0.795275590551	0.751937984496
MCTs07	0.745664739884	0.731578947368	0.788571428571	0.790540540541	0.0	0.728476821192	0.78313253012	0.723270440252	0.746113989637	0.730061349693	0.703488372093	0.850393700787	0.71974522293	0.744444444444	0.790055248619	0.758169934641	0.802197802198	0.766081871345	0.803571428571	0.792682926829	0.792207792208	0.702380952381	0.836879432624	0.843373493976	0.819444444444	0.787356321839	0.731843575419	0.75	0.807407407407	0.770186335404	0.728395061728
MCTs08	0.697183098592	0.725609756098	0.791946308725	0.764705882353	0.728476821192	0.0	0.843537414966	0.778571428571	0.719512195122	0.713235294118	0.75974025974	0.787234042553	0.709923664122	0.748387096774	0.769736842105	0.704918032787	0.776315789474	0.790540540541	0.834482758621	0.822695035461	0.758064516129	0.71724137931	0.821428571429	0.840579710145	0.8	0.790540540541	0.803680981595	0.813333333333	0.897435897436	0.761194029851	0.720588235294
MCTs09	0.803680981595	0.796703296703	0.789808917197	0.828358208955	0.78313253012	0.843537414966	0.0	0.793333333333	0.79781420765	0.774834437086	0.751552795031	0.872727272727	0.756944444444	0.827586206897	0.737179487179	0.782608695652	0.74358974359	0.74	0.78231292517	0.810810810811	0.757575757576	0.767295597484	0.816666666667	0.75	0.816	0.756578947368	0.779761904762	0.746666666667	0.831932773109	0.834437086093	0.820512820513
MCTs10	0.759493670886	0.79781420765	0.767741935484	0.793893129771	0.723270440252	0.778571428571	0.793333333333	0.0	0.772222222222	0.671428571429	0.7375	0.809523809524	0.732394366197	0.75	0.777777777778	0.775362318841	0.783950617284	0.766233766234	0.783783783784	0.787671232877	0.821428571429	0.745222929936	0.723214285714	0.852348993289	0.81746031746	0.766233766234	0.751515151515	0.796178343949	0.803418803419	0.795918367347	0.678571428571
MCTs13	0.715846994536	0.742718446602	0.700564971751	0.761006289308	0.746113989637	0.719512195122	0.79781420765	0.772222222222	0.0	0.699421965318	0.770408163265	0.861111111111	0.688622754491	0.722513089005	0.732620320856	0.731707317073	0.703296703297	0.78835978836	0.741379310345	0.721893491124	0.716981132075	0.696132596685	0.802631578947	0.764705882353	0.802547770701	0.720670391061	0.696808510638	0.780748663102	0.806666666667	0.706586826347	0.741573033708
MCTs14	0.726114649682	0.697674418605	0.733766233766	0.744186046512	0.730061349693	0.713235294118	0.774834437086	0.671428571429	0.699421965318	0.0	0.7125	0.759615384615	0.722222222222	0.78488372093	0.721518987342	0.699248120301	0.751552795031	0.732026143791	0.739726027397	0.751724137931	0.792857142857	0.694805194805	0.754237288136	0.793103448276	0.823076923077	0.75641025641	0.734939759036	0.815950920245	0.809917355372	0.734265734266	0.669014084507
