	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	5.74962292609	5.24941724942	6.67487179487	5.61884961885	4.98076923077	6.29326923077	5.06038047974	5.19551282051	6.11794871795	5.90688259109	7.4188034188	5.65967365967	5.38961851157	5.2158808933	5.33333333333	5.01709401709	5.29615384615	5.03525641026	5.92037786775	5.71794871795	5.30695970696	7.01923076923	6.5459057072	6.78846153846	5.10859728507	5.71794871795	6.72502210433	6.82051282051	5.66401414677	6.18181818182
MCTs03	5.74962292609	0.0	5.41176470588	5.03843137255	5.73714891362	5.82352941176	6.05759803922	5.94686907021	5.68382352941	5.82352941176	6.8689370485	7.09803921569	4.91622103387	5.33046389287	5.3523086654	6.54901960784	5.87581699346	5.4068627451	5.84558823529	5.47471620227	4.45098039216	5.18879551821	5.96568627451	6.2770398482	5.69362745098	5.76470588235	5.23529411765	6.14739688979	6.79411764706	4.78701825558	6.34937611408
MCTs04	5.24941724942	5.41176470588	0.0	5.74787878788	5.81818181818	6.35606060606	5.49053030303	5.61876832845	5.1553030303	5.83636363636	6.50558213716	7.41414141414	4.60606060606	5.24611973392	5.59139784946	6.15909090909	4.9595959596	5.00151515152	5.44507575758	5.30462519936	5.25757575758	4.94372294372	6.43181818182	5.89833822092	6.10227272727	5.00534759358	4.49350649351	6.00835945664	6.11363636364	4.87147335423	6.36363636364
MCTs06	6.67487179487	5.03843137255	5.74787878788	0.0	6.63783783784	6.75	6.5675	6.26580645161	5.60333333333	6.46666666667	7.85263157895	7.97333333333	4.85575757576	5.33658536585	6.9264516129	6.24333333333	6.09555555556	6.34	6.5575	5.00842105263	5.24666666667	6.05714285714	5.61666666667	6.54709677419	6.2	6.28	5.91047619048	7.47586206897	5.87	5.55862068966	6.24484848485
MCTs07	5.61884961885	5.73714891362	5.81818181818	6.63783783784	0.0	5.43693693694	6.21790540541	5.12292938099	5.43355855856	5.45045045045	5.36699857752	6.73873873874	5.72809172809	5.69545154911	6.05405405405	5.72297297297	6.13213213213	6.26621621622	6.30067567568	6.31294452347	6.04504504505	5.1444015444	7.24099099099	6.89276373147	6.55743243243	5.97456279809	5.0102960103	5.87325256291	6.75900900901	6.15657036347	5.44471744472
MCTs08	4.98076923077	5.82352941176	6.35606060606	6.75	5.43693693694	0.0	6.75	5.88978494624	5.70833333333	5.95	5.73684210526	6.52777777778	6.22727272727	5.68699186992	5.77956989247	5.25	6.02777777778	6.38333333333	6.10416666667	6.6798245614	5.83333333333	5.6619047619	6.83333333333	6.96774193548	6.29166666667	6.14215686275	6.11904761905	6.63793103448	7.58333333333	6.16666666667	5.91666666667
MCTs09	6.29326923077	6.05759803922	5.49053030303	6.5675	6.21790540541	6.75	0.0	6.43951612903	6.0625	6.22916666667	5.92763157895	7.59027777778	5.50189393939	5.51524390244	5.62298387097	5.89583333333	4.90277777778	5.025	5.8125	6.03618421053	5.41666666667	5.32142857143	6.79166666667	5.4939516129	6.375	5.15441176471	5.12202380952	5.22413793103	6.6875	6.12068965517	7.30492424242
MCTs10	5.06038047974	5.94686907021	5.61876832845	6.26580645161	5.12292938099	5.88978494624	6.43951612903	0.0	5.27553763441	5.11397849462	6.28692699491	6.78853046595	5.56207233627	5.73878835563	5.61290322581	6.01075268817	5.94444444444	5.88387096774	5.9435483871	5.80475382003	6.47311827957	5.83594470046	6.31720430108	6.70967741935	6.5685483871	5.82163187856	5.38402457757	6.45828698554	6.40053763441	6.00444938821	5.13587487781
MCTs13	5.19551282051	5.68382352941	5.1553030303	5.60333333333	5.43355855856	5.70833333333	6.0625	5.27553763441	0.0	4.99166666667	6.41447368421	7.18055555556	5.17045454545	5.18699186992	5.50268817204	5.16666666667	4.84722222222	6.15833333333	5.75	4.81359649123	5.66666666667	4.98571428571	7.29166666667	5.62903225806	6.875	5.35784313725	4.50595238095	6.14511494253	6.20833333333	5.37643678161	5.54166666667
MCTs14	6.11794871795	5.82352941176	5.83636363636	6.46666666667	5.45045045045	5.95	6.22916666667	5.11397849462	4.99166666667	0.0	5.61052631579	6.11111111111	6.11515151515	6.44227642276	5.89892473118	5.7	6.01111111111	6.51666666667	6.1875	6.35438596491	6.5	5.80952380952	7.2	5.87956989247	7.40833333333	6.19215686275	5.49523809524	6.71494252874	6.75	6.13563218391	5.10909090909
