MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
M00001	122286.4248648	325189.631872	80623.893926	68093.9220654615	138631.461321286	212916.399826938	48941.3408013125	45967.320093125	301681.269477643	149408.086886687	61247.9690431875	162831.3440237	189002.446419938	345102.442338818	139774.4692885	23844.1134480588	80315.8667960667	422591.154694333	81378.8779934	375205.929974733	70601.2054842353	78999.3054215625	115329.152067467	130270.683545706	142609.890721286	338596.4128425	269314.789160833	32221.4653910714	256579.958452143	174120.096374176	502851.50726525	64330.73729925	109334.848937706	15710.1413609286
M00002	110120.813333333	254246.533333333	70671.98	69539.3692307692	123021.228571429	167805.375	46100.64375	41989.71875	240850.55	121649.625	55091.8625	130691.52	146144.4875	275468.527272727	130718.607142857	20194.6294117647	71502.74	311128	72272.1466666667	309136.673333333	59107.9529411765	67786.81875	99225.5066666667	120464.988235294	110658.271428571	282581.391666667	246133.666666667	32534.6428571429	196552.607142857	147134.482352941	385790.091666667	70744.8583333333	89800.5647058824	17734.7642857143
M00003	90399.8438662667	214269.835875667	56595.9004817333	61417.3285379231	100272.153189857	140949.855404812	35459.1260915	32110.0200125	214165.138731857	95589.7565604375	43489.095924875	117193.1656385	124916.2291785	230587.009125273	102482.284785214	17416.9648535294	57448.3205212	292628.273383333	56535.4060495333	261101.129728133	49944.5788095294	53925.8386683125	83259.0544708	92897.2016974118	93900.8509242857	245704.015386333	205136.145161	24507.6845966429	170107.771501571	121879.284138706	330145.017226417	47346.957143	79539.0952015294	14021.4014406429
M00004	54971.3376240667	145338.433457083	42393.8715696667	44392.9803080769	64791.0841295714	83768.2010931875	30854.73570225	25698.982289375	79081.7649271429	61651.918048	28608.7148958125	57058.9455642	74278.569017	150984.103879818	61833.4266206429	7931.92745752941	55733.2777518667	94155.8103586667	36893.9948141333	126363.510721667	30633.3571936471	22965.9153928125	55421.9747336	51112.27723	63396.9616404286	135896.203081167	135644.451178833	23117.6640521429	104577.675837571	73964.4270997647	182463.5389375	31313.7520346667	57974.7173029412	11103.2370697857
M00005	22714.7333333333	36632.1666666667	9685.46666666667	9689.07692307692	29383.5714285714	24025.375	7418.0625	6264.9375	32442.8571428571	17104.0625	8001.0625	18636.7	21874.3125	43441.9090909091	29741.5714285714	2793.11764705882	10627.0666666667	43086.8333333333	9635.26666666667	48341.8666666667	10779.1176470588	11723.75	13730.1333333333	29593.4117647059	19511.8571428571	46957.8333333333	42826	4994.5	28794.5	23026.0588235294	62628.8333333333	25550.25	14139.7647058824	2993.21428571429
M00006	5517.76	4054.86666666667	5197.12	1203.93846153846	4404.34285714286	5348.9	1061.7	1883.9	7338.8	5052.8	1904.25	3678.88	3550.6	12785.8909090909	1448.57142857143	587.058823529412	10688.5333333333	2944.66666666667	4983.94666666667	10058.1866666667	4568.89411764706	3107.4	4014.24	5685.83529411765	8289.48571428571	6799.2	8773.73333333333	1095.6	5252.17142857143	5781.22352941177	1636.86666666667	4021	2153.83529411765	132.628571428571
M00007	46389.8147774	124365.175367833	35313.6656918	44698.315454	60303.9620427143	70667.6727150625	29085.61336575	22912.9075015	70950.8429289286	51077.66325875	26606.06323975	50182.8132602	63423.6153978125	123284.193110545	53569.6214292857	7027.32163158824	44061.6506364	84806.441428	29184.6930058	111799.903983067	25079.4231045294	20046.2326180625	48878.0493164	42947.1412045294	52148.9077118571	125844.9374665	111798.566391667	21493.5430346429	88246.9885107143	63344.2333525882	162064.675010917	26019.156259	52924.9211458824	12331.817676
M00008	4227.1338986	3743.91747325	5427.7658136	1176.78210653846	5365.78551685714	5433.7397748125	1679.7294758125	2976.3546985	5484.21485185714	4933.7314613125	3240.449273125	3762.1157056	3471.5933645625	10030.1657947273	1784.97658185714	563.255059529412	6940.89029693333	2504.11129341667	4621.47919106667	6502.62547353333	3213.49080982353	2055.1257688125	3207.97874066667	4639.550875	8600.01114007143	6903.01468358333	9359.69857466667	1952.00048121429	6002.29776242857	3834.97220629412	2574.77847866667	5018.02793891667	2259.62699617647	108.095292142857
M00009	63833.3595368	157038.984665417	49098.5070737333	40138.9931028462	74402.4584048571	119013.899681125	31304.048606625	31480.5273126875	148889.9979115	76237.341747875	37509.1124069375	89663.1336234	94789.651598375	188353.570352455	70457.8009796429	11408.4826217647	43902.4783610667	200406.788701083	45315.4442122667	205362.5479872	38112.8878441176	37493.501147625	55454.0675124	66681.7425893529	79294.2470895714	191558.981816667	139155.632897667	21508.4240165714	138540.295481214	94144.634271	270891.394092167	33805.62587975	61862.2988695882	7931.78993585714
M00010	10729.7066666667	10004.9833333333	12687.2	21539.6923076923	22375.2	10981.05	10910.4625	9847.325	12362.1857142857	8889.5625	11861.575	9392.6	6952.025	18224.8727272727	6955.97142857143	1621.09411764706	12634.0533333333	6186.83333333333	9150.6	6145.84	5469.94117647059	2001.0875	10088.7866666667	9343.37647058823	11441.9285714286	37615.5333333333	48500.1333333333	12162.9142857143	13895.1857142857	9001.12941176471	15381.7	12814.6666666667	14721.1294117647	4746.68571428571
